dataset,preference_source,method_a,method_b,metric,mean_diff,ci_lower,ci_upper,p_value,significant,n_queries
bright,qrels,greedy_fas_weighted_balance,borda,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,hybrid_rrf_fas_regularized,borda,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,greedy_fas_weighted_balance,score_sum,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,hybrid_rrf_fas_regularized,score_sum,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,greedy_fas_weighted_balance,borda,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,hybrid_rrf_fas_regularized,borda,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,greedy_fas_weighted_balance,score_sum,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,hybrid_rrf_fas_regularized,score_sum,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,greedy_fas_weighted_balance,borda,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,hybrid_rrf_fas_regularized,borda,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,greedy_fas_weighted_balance,score_sum,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
bright,qrels,hybrid_rrf_fas_regularized,score_sum,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,greedy_fas_weighted_balance,borda,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,hybrid_rrf_fas_regularized,borda,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,greedy_fas_weighted_balance,score_sum,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,hybrid_rrf_fas_regularized,score_sum,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,greedy_fas_weighted_balance,borda,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,hybrid_rrf_fas_regularized,borda,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,greedy_fas_weighted_balance,score_sum,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,hybrid_rrf_fas_regularized,score_sum,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,greedy_fas_weighted_balance,borda,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,hybrid_rrf_fas_regularized,borda,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,greedy_fas_weighted_balance,score_sum,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
fiqa,qrels,hybrid_rrf_fas_regularized,score_sum,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,greedy_fas_weighted_balance,borda,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,hybrid_rrf_fas_regularized,borda,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,greedy_fas_weighted_balance,score_sum,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,hybrid_rrf_fas_regularized,score_sum,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,greedy_fas_weighted_balance,borda,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,hybrid_rrf_fas_regularized,borda,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,greedy_fas_weighted_balance,score_sum,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,hybrid_rrf_fas_regularized,score_sum,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,greedy_fas_weighted_balance,borda,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,hybrid_rrf_fas_regularized,borda,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,greedy_fas_weighted_balance,score_sum,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
hotpotqa,qrels,hybrid_rrf_fas_regularized,score_sum,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,greedy_fas_weighted_balance,borda,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,hybrid_rrf_fas_regularized,borda,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,greedy_fas_weighted_balance,score_sum,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,hybrid_rrf_fas_regularized,score_sum,kendall_tau,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,greedy_fas_weighted_balance,borda,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,hybrid_rrf_fas_regularized,borda,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,greedy_fas_weighted_balance,score_sum,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,hybrid_rrf_fas_regularized,score_sum,ndcg,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,greedy_fas_weighted_balance,borda,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,hybrid_rrf_fas_regularized,borda,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,greedy_fas_weighted_balance,score_sum,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
scidocs,qrels,hybrid_rrf_fas_regularized,score_sum,pairwise_accuracy,0.000000,0.000000,0.000000,1.000000,False,20
