noise,seed,method,kendall_tau,gap_to_borda,gap_to_score_sum,gap_to_hybrid_rrf_fas_regularized
0.05,42,borda,0.926316,0.0,0.0,0.0
0.05,42,fas_balance_score_prior_alpha_beta,0.926316,0.0,0.0,0.0
0.05,42,fas_weighted_balance,0.894737,-0.031579,-0.031579,-0.031579
0.05,42,hybrid_rrf_fas_regularized,0.926316,0.0,0.0,0.0
0.05,42,score_sum,0.926316,0.0,0.0,0.0
0.10,42,borda,0.884211,0.0,0.073684,0.042105
0.10,42,fas_balance_score_prior_alpha_beta,0.831579,-0.052632,0.021053,-0.010526
0.10,42,fas_weighted_balance,0.831579,-0.052632,0.021053,-0.010526
0.10,42,hybrid_rrf_fas_regularized,0.842105,-0.042105,0.031579,0.0
0.10,42,score_sum,0.810526,-0.073684,0.0,-0.031579
0.15,42,borda,0.863158,0.0,0.105263,0.084211
0.15,42,fas_balance_score_prior_alpha_beta,0.778947,-0.084211,0.021053,0.0
0.15,42,fas_weighted_balance,0.757895,-0.105263,0.0,-0.021053
0.15,42,hybrid_rrf_fas_regularized,0.778947,-0.084211,0.021053,0.0
0.15,42,score_sum,0.757895,-0.105263,0.0,-0.021053
0.20,42,borda,0.778947,0.0,0.021053,0.021053
0.20,42,fas_balance_score_prior_alpha_beta,0.768421,-0.010526,0.010526,0.010526
0.20,42,fas_weighted_balance,0.736842,-0.042105,-0.021053,-0.021053
0.20,42,hybrid_rrf_fas_regularized,0.757895,-0.021053,0.0,0.0
0.20,42,score_sum,0.757895,-0.021053,0.0,0.0
0.25,42,borda,0.726316,0.0,-0.063158,-0.094737
0.25,42,fas_balance_score_prior_alpha_beta,0.821053,0.094737,0.031579,0.0
0.25,42,fas_weighted_balance,0.736842,0.010526,-0.052632,-0.084211
0.25,42,hybrid_rrf_fas_regularized,0.821053,0.094737,0.031579,0.0
0.25,42,score_sum,0.789474,0.063158,0.0,-0.031579
0.25,123,borda,0.684211,0.0,0.063158,0.084211
0.25,123,fas_balance_score_prior_alpha_beta,0.610526,-0.073684,-0.010526,0.010526
0.25,123,fas_weighted_balance,0.484211,-0.2,-0.136842,-0.115789
0.25,123,hybrid_rrf_fas_regularized,0.6,-0.084211,-0.021053,0.0
0.25,123,score_sum,0.621053,-0.063158,0.0,0.021053
0.25,456,borda,0.736842,0.0,0.147368,0.189474
0.25,456,fas_balance_score_prior_alpha_beta,0.578947,-0.157895,-0.010526,0.031579
0.25,456,fas_weighted_balance,0.589474,-0.147368,0.0,0.042105
0.25,456,hybrid_rrf_fas_regularized,0.547368,-0.189474,-0.042105,0.0
0.25,456,score_sum,0.589474,-0.147368,0.0,0.042105
0.25,789,borda,0.747368,0.0,0.063158,0.042105
0.25,789,fas_balance_score_prior_alpha_beta,0.694737,-0.052632,0.010526,-0.010526
0.25,789,fas_weighted_balance,0.652632,-0.094737,-0.031579,-0.052632
0.25,789,hybrid_rrf_fas_regularized,0.705263,-0.042105,0.021053,0.0
0.25,789,score_sum,0.684211,-0.063158,0.0,-0.021053
0.25,1234,borda,0.705263,0.0,0.021053,0.063158
0.25,1234,fas_balance_score_prior_alpha_beta,0.652632,-0.052632,-0.031579,0.010526
0.25,1234,fas_weighted_balance,0.452632,-0.252632,-0.231579,-0.189474
0.25,1234,hybrid_rrf_fas_regularized,0.642105,-0.063158,-0.042105,0.0
0.25,1234,score_sum,0.684211,-0.021053,0.0,0.042105
0.30,42,borda,0.578947,0.0,0.052632,-0.042105
0.30,42,fas_balance_score_prior_alpha_beta,0.578947,0.0,0.052632,-0.042105
0.30,42,fas_weighted_balance,0.642105,0.063158,0.115789,0.021053
0.30,42,hybrid_rrf_fas_regularized,0.621053,0.042105,0.094737,0.0
0.30,42,score_sum,0.526316,-0.052632,0.0,-0.094737
0.30,123,borda,0.526316,0.0,0.031579,0.105263
0.30,123,fas_balance_score_prior_alpha_beta,0.452632,-0.073684,-0.042105,0.031579
0.30,123,fas_weighted_balance,0.252632,-0.273684,-0.242105,-0.168421
0.30,123,hybrid_rrf_fas_regularized,0.421053,-0.105263,-0.073684,0.0
0.30,123,score_sum,0.494737,-0.031579,0.0,0.073684
0.30,456,borda,0.589474,0.0,0.147368,0.084211
0.30,456,fas_balance_score_prior_alpha_beta,0.473684,-0.115789,0.031579,-0.031579
0.30,456,fas_weighted_balance,0.568421,-0.021053,0.126316,0.063158
0.30,456,hybrid_rrf_fas_regularized,0.505263,-0.084211,0.063158,0.0
0.30,456,score_sum,0.442105,-0.147368,0.0,-0.063158
0.30,789,borda,0.684211,0.0,0.073684,0.021053
0.30,789,fas_balance_score_prior_alpha_beta,0.642105,-0.042105,0.031579,-0.021053
0.30,789,fas_weighted_balance,0.578947,-0.105263,-0.031579,-0.084211
0.30,789,hybrid_rrf_fas_regularized,0.663158,-0.021053,0.052632,0.0
0.30,789,score_sum,0.610526,-0.073684,0.0,-0.052632
0.30,1234,borda,0.631579,0.0,0.094737,0.042105
0.30,1234,fas_balance_score_prior_alpha_beta,0.568421,-0.063158,0.031579,-0.021053
0.30,1234,fas_weighted_balance,0.347368,-0.284211,-0.189474,-0.242105
0.30,1234,hybrid_rrf_fas_regularized,0.589474,-0.042105,0.052632,0.0
0.30,1234,score_sum,0.536842,-0.094737,0.0,-0.052632
