experiment_family,dataset,run_dir,seed,weight_scheme,n_items,noise,best_method,best_tau,best_baseline,best_baseline_tau,score_sum_tau,borda_tau,greedy_fas_topological_tau,greedy_gap_to_best,original_pairwise_inconsistency,after_fas_pairwise_inconsistency,fas_n_removed_edges,fas_total_removed_weight,runtime_total_s,runtime_greedy_fas_s,status
margin_multiseed,synthetic,outputs/margin_multiseed_n20_noise0.20/seed_42,42,margin,20,0.2,borda,0.778947,borda,0.778947,0.757895,0.778947,0.452632,0.326316,37,16,62,14.062826,0.014017,0.009924,final
margin_multiseed,synthetic,outputs/margin_multiseed_n20_noise0.20/seed_123,123,margin,20,0.2,borda,0.715789,borda,0.715789,0.642105,0.715789,0.210526,0.505263,43,25,72,15.694768,0.013763,0.009336,final
margin_multiseed,synthetic,outputs/margin_multiseed_n20_noise0.20/seed_456,456,margin,20,0.2,borda,0.757895,borda,0.757895,0.610526,0.757895,0.305263,0.452632,43,20,87,20.595784,0.01483,0.01045,final
margin_multiseed,synthetic,outputs/margin_multiseed_n20_noise0.20/seed_789,789,margin,20,0.2,borda,0.8,borda,0.8,0.705263,0.8,0.231579,0.568421,37,16,104,14.548819,0.014934,0.010696,final
margin_multiseed,synthetic,outputs/margin_multiseed_n20_noise0.20/seed_1234,1234,margin,20,0.2,score_sum,0.726316,score_sum,0.726316,0.726316,0.726316,0.210526,0.515789,43,17,93,25.952804,0.018302,0.013946,final
noise_sweep,synthetic,outputs/noise_sweep_n0.05,42,margin,20,0.05,score_sum,0.926316,score_sum,0.926316,0.926316,0.926316,0.726316,0.2,10,5,41,5.807113,0.012244,0.00889,final
noise_sweep,synthetic,outputs/noise_sweep_n0.10,42,margin,20,0.1,borda,0.884211,borda,0.884211,0.810526,0.884211,0.6,0.284211,23,8,61,10.535804,0.012184,0.009096,final
noise_sweep,synthetic,outputs/noise_sweep_n0.15,42,margin,20,0.15,borda,0.863158,borda,0.863158,0.757895,0.863158,0.484211,0.378947,29,9,73,13.689272,0.013999,0.010491,final
noise_sweep,synthetic,outputs/noise_sweep_n0.20,42,margin,20,0.2,borda,0.778947,borda,0.778947,0.757895,0.778947,0.452632,0.326316,37,16,62,14.062826,0.013741,0.010307,final
noise_sweep,synthetic,outputs/noise_sweep_n0.25,42,margin,20,0.25,score_sum,0.789474,score_sum,0.789474,0.789474,0.726316,0.4,0.389474,56,21,72,16.961237,0.012874,0.009377,final
noise_sweep,synthetic,outputs/noise_sweep_n0.30,42,margin,20,0.3,borda,0.578947,borda,0.578947,0.526316,0.578947,0.410526,0.168421,67,27,70,16.760696,0.012906,0.009487,final
scale_sweep,synthetic,outputs/scale_sweep_n10,42,margin,10,0.1,borda,0.777778,borda,0.777778,0.733333,0.777778,0.2,0.577778,9,5,18,3.683958,0.004377,0.002162,final
scale_sweep,synthetic,outputs/scale_sweep_n20,42,margin,20,0.1,borda,0.884211,borda,0.884211,0.810526,0.884211,0.6,0.284211,23,8,61,10.535804,0.014282,0.010689,final
scale_sweep,synthetic,outputs/scale_sweep_n50,42,margin,50,0.1,score_sum,0.88898,score_sum,0.88898,0.88898,0.884082,0.595102,0.293878,120,36,404,83.034409,0.224724,0.212346,final
scale_sweep,synthetic,outputs/scale_sweep_n100,42,margin,100,0.1,borda,0.931717,borda,0.931717,0.895758,0.931717,0.549495,0.382222,474,87,1721,367.3836,1.231536,1.194237,final
uniform_multiseed,synthetic,outputs/uniform_multiseed_n20_noise0.20/seed_42,42,uniform,20,0.2,score_sum,0.778947,score_sum,0.778947,0.778947,0.778947,0.031579,0.747368,37,22,89,89.0,0.033754,0.029253,final
uniform_multiseed,synthetic,outputs/uniform_multiseed_n20_noise0.20/seed_123,123,uniform,20,0.2,score_sum,0.715789,score_sum,0.715789,0.715789,0.715789,0.357895,0.357895,43,21,82,82.0,0.024629,0.020075,final
uniform_multiseed,synthetic,outputs/uniform_multiseed_n20_noise0.20/seed_456,456,uniform,20,0.2,score_sum,0.757895,score_sum,0.757895,0.757895,0.757895,-0.2,0.957895,43,34,99,99.0,0.029513,0.025076,final
uniform_multiseed,synthetic,outputs/uniform_multiseed_n20_noise0.20/seed_789,789,uniform,20,0.2,score_sum,0.8,score_sum,0.8,0.8,0.8,-0.052632,0.852632,37,22,98,98.0,0.039489,0.034348,final
uniform_multiseed,synthetic,outputs/uniform_multiseed_n20_noise0.20/seed_1234,1234,uniform,20,0.2,score_sum,0.726316,score_sum,0.726316,0.726316,0.726316,-0.168421,0.894737,43,28,107,107.0,0.042419,0.037533,final
