provider,dataset,policy,usable_queries,cyclic_pct,mean_delta_ndcg,ci95_low,ci95_high,help,harm,inactive
azure,bright,P0,68,30.88,0.0,0.0,0.0,0,0,68
azure,bright,P1,68,0.0,0.0,0.0,0.0,0,0,68
azure,bright,P2,68,0.0,0.0,0.0,0.0,0,0,68
azure,bright,P3,68,0.0,0.0,0.0,0.0,0,0,68
azure,bright,P4,68,30.88,0.0,0.0,0.0,0,0,68
azure,fiqa,P0,73,50.68,0.0,0.0,0.0,0,0,73
azure,fiqa,P1,73,4.11,0.0,0.0,0.0,0,0,73
azure,fiqa,P2,73,4.11,0.0,0.0,0.0,0,0,73
azure,fiqa,P3,73,4.11,0.0,0.0,0.0,0,0,73
azure,fiqa,P4,73,50.68,0.0,0.0,0.0,0,0,73
azure,hotpotqa,P0,57,57.89,0.0,0.0,0.0,0,0,57
azure,hotpotqa,P1,57,10.53,0.0,0.0,0.0,0,0,57
azure,hotpotqa,P2,57,5.26,0.0,0.0,0.0,0,0,57
azure,hotpotqa,P3,57,5.26,0.0,0.0,0.0,0,0,57
azure,hotpotqa,P4,57,57.89,0.0,0.0,0.0,0,0,57
cohere,bright,P0,68,32.35,-0.0057764343370325915,-0.014645159631271151,0.0007711305565344303,3,5,60
cohere,bright,P1,66,0.0,0.0,0.0,0.0,0,0,66
cohere,bright,P2,66,0.0,0.0,0.0,0.0,0,0,66
cohere,bright,P3,66,0.0,0.0,0.0,0.0,0,0,66
cohere,bright,P4,68,32.35,-0.0057764343370325915,-0.015441115182004486,0.000790716580671604,3,5,60
cohere,fiqa,P0,73,61.64,0.0,0.0,0.0,0,0,73
cohere,fiqa,P1,73,0.0,0.0,0.0,0.0,0,0,73
cohere,fiqa,P2,73,0.0,0.0,0.0,0.0,0,0,73
cohere,fiqa,P3,73,0.0,0.0,0.0,0.0,0,0,73
cohere,fiqa,P4,73,61.64,0.0,0.0,0.0,0,0,73
cohere,hotpotqa,P0,57,57.89,-0.02631578947368421,-0.05263157894736842,0.0,0,3,54
cohere,hotpotqa,P1,57,10.53,0.0,0.0,0.0,0,0,57
cohere,hotpotqa,P2,57,0.0,0.0,0.0,0.0,0,0,57
cohere,hotpotqa,P3,57,10.53,0.0,0.0,0.0,0,0,57
cohere,hotpotqa,P4,57,57.89,-0.02631578947368421,-0.06140350877192982,0.0,0,3,54
