dataset,method,accuracy,avg_cost,oracle_accuracy,regret_accuracy,oracle_utility_lambda_0.10,method_utility_lambda_0.10,regret_utility_lambda_0.10,oracle_utility_lambda_0.25,method_utility_lambda_0.25,regret_utility_lambda_0.25
hotpotqa,score_sum,1.0,0.0020530583501006,1.0,0.0,0.9915858264340139,0.9915858264340139,0.0,0.9789645660850348,0.9789645660850348,0.0
hotpotqa,borda,1.0,0.0020530583501006,1.0,0.0,0.9915858264340139,0.9915858264340139,0.0,0.9789645660850348,0.9789645660850348,0.0
hotpotqa,pagerank,1.0,0.0020530583501006,1.0,0.0,0.9915858264340139,0.9915858264340139,0.0,0.9789645660850348,0.9789645660850348,0.0
hotpotqa,greedy_fas_topological,1.0,0.0020530583501006,1.0,0.0,0.9915858264340139,0.9915858264340139,0.0,0.9789645660850348,0.9789645660850348,0.0
hotpotqa,greedy_fas_weighted_balance,1.0,0.0020530583501006,1.0,0.0,0.9915858264340139,0.9915858264340139,0.0,0.9789645660850348,0.9789645660850348,0.0
hotpotqa,greedy_fas_copeland,1.0,0.0020530583501006,1.0,0.0,0.9915858264340139,0.9915858264340139,0.0,0.9789645660850348,0.9789645660850348,0.0
hotpotqa,greedy_fas_score_augmented_topological,1.0,0.0020530583501006,1.0,0.0,0.9915858264340139,0.9915858264340139,0.0,0.9789645660850348,0.9789645660850348,0.0
hotpotqa,fas_balance_score_prior_alpha_beta,1.0,0.0020530583501006,1.0,0.0,0.9915858264340139,0.9915858264340139,0.0,0.9789645660850348,0.9789645660850348,0.0
hotpotqa,hybrid_rrf_fas_regularized,1.0,0.0020530583501006,1.0,0.0,0.9915858264340139,0.9915858264340139,0.0,0.9789645660850348,0.9789645660850348,0.0
hotpotqa,hybrid_rrf_balance_a05,1.0,0.0020530583501006,1.0,0.0,0.9915858264340139,0.9915858264340139,0.0,0.9789645660850348,0.9789645660850348,0.0
hotpotqa,hybrid_rrf_copeland_a03,1.0,0.0020530583501006,1.0,0.0,0.9915858264340139,0.9915858264340139,0.0,0.9789645660850348,0.9789645660850348,0.0
hotpotqa,hybrid_rrf_priority_topo_a03,1.0,0.0020530583501006,1.0,0.0,0.9915858264340139,0.9915858264340139,0.0,0.9789645660850348,0.9789645660850348,0.0
hotpotqa,cross_encoder,0.949931,0.0020530583501006,1.0,0.05006900000000003,0.9915858264340139,0.9415168264340139,0.05006900000000003,0.9789645660850348,0.9288955660850348,0.05006900000000003
hotpotqa,llm_pairwise_copeland_openai_pilot,0.8929,0.0244,1.0,0.10709999999999997,0.9,0.7929,0.10709999999999997,0.75,0.6429,0.10709999999999997
hotpotqa,bt_from_llm_openai_pilot,0.8859,0.0244,1.0,0.11409999999999998,0.9,0.7859,0.11409999999999998,0.75,0.6359,0.11409999999999998
hotpotqa,win_rate_from_llm_openai_pilot,0.8929,0.0244,1.0,0.10709999999999997,0.9,0.7929,0.10709999999999997,0.75,0.6429,0.10709999999999997
hotpotqa,markov_from_llm_openai_pilot,0.8868,0.0244,1.0,0.11319999999999997,0.9,0.7868,0.11319999999999997,0.75,0.6368,0.11319999999999997
hotpotqa,tournament_sort_from_llm_openai_pilot,0.9008,0.0244,1.0,0.09919999999999995,0.9,0.8008000000000001,0.09919999999999995,0.75,0.6508,0.09919999999999995
hotpotqa,greedy_fas_topological_openai_pilot,0.8778,0.0244,1.0,0.12219999999999998,0.9,0.7778,0.12219999999999998,0.75,0.6278,0.12219999999999998
hotpotqa,greedy_fas_weighted_balance_openai_pilot,0.8778,0.0244,1.0,0.12219999999999998,0.9,0.7778,0.12219999999999998,0.75,0.6278,0.12219999999999998
hotpotqa,greedy_fas_copeland_openai_pilot,0.8778,0.0244,1.0,0.12219999999999998,0.9,0.7778,0.12219999999999998,0.75,0.6278,0.12219999999999998
hotpotqa,hybrid_rrf_repaired_copeland_a03_openai_pilot,0.8859,0.0244,1.0,0.11409999999999998,0.9,0.7859,0.11409999999999998,0.75,0.6359,0.11409999999999998
hotpotqa,hybrid_rrf_unrepaired_copeland_a03_openai_pilot,0.8929,0.0244,1.0,0.10709999999999997,0.9,0.7929,0.10709999999999997,0.75,0.6429,0.10709999999999997
hotpotqa,hybrid_rrf_repaired_balance_a03_openai_pilot,0.8859,0.0244,1.0,0.11409999999999998,0.9,0.7859,0.11409999999999998,0.75,0.6359,0.11409999999999998
hotpotqa,hybrid_rrf_unrepaired_balance_a03_openai_pilot,0.8929,0.0244,1.0,0.10709999999999997,0.9,0.7929,0.10709999999999997,0.75,0.6429,0.10709999999999997
