dataset,method,accuracy,avg_cost,on_pareto_frontier,dominated_by
scidocs,score_sum,1.0,0.003142176,True,
scidocs,borda,1.0,0.003142176,True,
scidocs,pagerank,1.0,0.003142176,True,
scidocs,greedy_fas_topological,1.0,0.003142176,True,
scidocs,greedy_fas_weighted_balance,1.0,0.003142176,True,
scidocs,greedy_fas_copeland,1.0,0.003142176,True,
scidocs,greedy_fas_score_augmented_topological,1.0,0.003142176,True,
scidocs,fas_balance_score_prior_alpha_beta,1.0,0.003142176,True,
scidocs,hybrid_rrf_fas_regularized,1.0,0.003142176,True,
scidocs,hybrid_rrf_balance_a05,1.0,0.003142176,True,
scidocs,hybrid_rrf_copeland_a03,1.0,0.003142176,True,
scidocs,hybrid_rrf_priority_topo_a03,1.0,0.003142176,True,
scidocs,cross_encoder,0.89768,0.003142176,False,borda;fas_balance_score_prior_alpha_beta;greedy_fas_copeland;greedy_fas_score_augmented_topological;greedy_fas_topological;greedy_fas_weighted_balance;hybrid_rrf_balance_a05;hybrid_rrf_copeland_a03;hybrid_rrf_fas_regularized;hybrid_rrf_priority_topo_a03;pagerank;score_sum
scidocs,llm_pairwise_copeland_openai_pilot,0.9566,0.1466,False,borda;fas_balance_score_prior_alpha_beta;greedy_fas_copeland;greedy_fas_score_augmented_topological;greedy_fas_topological;greedy_fas_weighted_balance;hybrid_rrf_balance_a05;hybrid_rrf_copeland_a03;hybrid_rrf_fas_regularized;hybrid_rrf_priority_topo_a03;markov_from_llm_openai_pilot;pagerank;score_sum
scidocs,bt_from_llm_openai_pilot,0.9566,0.1466,False,borda;fas_balance_score_prior_alpha_beta;greedy_fas_copeland;greedy_fas_score_augmented_topological;greedy_fas_topological;greedy_fas_weighted_balance;hybrid_rrf_balance_a05;hybrid_rrf_copeland_a03;hybrid_rrf_fas_regularized;hybrid_rrf_priority_topo_a03;markov_from_llm_openai_pilot;pagerank;score_sum
scidocs,win_rate_from_llm_openai_pilot,0.9566,0.1466,False,borda;fas_balance_score_prior_alpha_beta;greedy_fas_copeland;greedy_fas_score_augmented_topological;greedy_fas_topological;greedy_fas_weighted_balance;hybrid_rrf_balance_a05;hybrid_rrf_copeland_a03;hybrid_rrf_fas_regularized;hybrid_rrf_priority_topo_a03;markov_from_llm_openai_pilot;pagerank;score_sum
scidocs,markov_from_llm_openai_pilot,0.9574,0.1466,False,borda;fas_balance_score_prior_alpha_beta;greedy_fas_copeland;greedy_fas_score_augmented_topological;greedy_fas_topological;greedy_fas_weighted_balance;hybrid_rrf_balance_a05;hybrid_rrf_copeland_a03;hybrid_rrf_fas_regularized;hybrid_rrf_priority_topo_a03;pagerank;score_sum
scidocs,tournament_sort_from_llm_openai_pilot,0.9533,0.1466,False,borda;bt_from_llm_openai_pilot;fas_balance_score_prior_alpha_beta;greedy_fas_copeland;greedy_fas_score_augmented_topological;greedy_fas_topological;greedy_fas_weighted_balance;hybrid_rrf_balance_a05;hybrid_rrf_copeland_a03;hybrid_rrf_fas_regularized;hybrid_rrf_priority_topo_a03;hybrid_rrf_repaired_balance_a03_openai_pilot;hybrid_rrf_repaired_copeland_a03_openai_pilot;hybrid_rrf_unrepaired_balance_a03_openai_pilot;hybrid_rrf_unrepaired_copeland_a03_openai_pilot;llm_pairwise_copeland_openai_pilot;markov_from_llm_openai_pilot;pagerank;score_sum;win_rate_from_llm_openai_pilot
scidocs,greedy_fas_topological_openai_pilot,0.9474,0.1466,False,borda;bt_from_llm_openai_pilot;fas_balance_score_prior_alpha_beta;greedy_fas_copeland;greedy_fas_score_augmented_topological;greedy_fas_topological;greedy_fas_weighted_balance;hybrid_rrf_balance_a05;hybrid_rrf_copeland_a03;hybrid_rrf_fas_regularized;hybrid_rrf_priority_topo_a03;hybrid_rrf_repaired_balance_a03_openai_pilot;hybrid_rrf_repaired_copeland_a03_openai_pilot;hybrid_rrf_unrepaired_balance_a03_openai_pilot;hybrid_rrf_unrepaired_copeland_a03_openai_pilot;llm_pairwise_copeland_openai_pilot;markov_from_llm_openai_pilot;pagerank;score_sum;tournament_sort_from_llm_openai_pilot;win_rate_from_llm_openai_pilot
