dataset,method,accuracy,avg_cost,oracle_accuracy,regret_accuracy,oracle_utility_lambda_0.10,method_utility_lambda_0.10,regret_utility_lambda_0.10,oracle_utility_lambda_0.25,method_utility_lambda_0.25,regret_utility_lambda_0.25
scidocs,score_sum,1.0,0.003142176,1.0,0.0,0.9978566330150068,0.9978566330150068,0.0,0.994641582537517,0.994641582537517,0.0
scidocs,borda,1.0,0.003142176,1.0,0.0,0.9978566330150068,0.9978566330150068,0.0,0.994641582537517,0.994641582537517,0.0
scidocs,pagerank,1.0,0.003142176,1.0,0.0,0.9978566330150068,0.9978566330150068,0.0,0.994641582537517,0.994641582537517,0.0
scidocs,greedy_fas_topological,1.0,0.003142176,1.0,0.0,0.9978566330150068,0.9978566330150068,0.0,0.994641582537517,0.994641582537517,0.0
scidocs,greedy_fas_weighted_balance,1.0,0.003142176,1.0,0.0,0.9978566330150068,0.9978566330150068,0.0,0.994641582537517,0.994641582537517,0.0
scidocs,greedy_fas_copeland,1.0,0.003142176,1.0,0.0,0.9978566330150068,0.9978566330150068,0.0,0.994641582537517,0.994641582537517,0.0
scidocs,greedy_fas_score_augmented_topological,1.0,0.003142176,1.0,0.0,0.9978566330150068,0.9978566330150068,0.0,0.994641582537517,0.994641582537517,0.0
scidocs,fas_balance_score_prior_alpha_beta,1.0,0.003142176,1.0,0.0,0.9978566330150068,0.9978566330150068,0.0,0.994641582537517,0.994641582537517,0.0
scidocs,hybrid_rrf_fas_regularized,1.0,0.003142176,1.0,0.0,0.9978566330150068,0.9978566330150068,0.0,0.994641582537517,0.994641582537517,0.0
scidocs,hybrid_rrf_balance_a05,1.0,0.003142176,1.0,0.0,0.9978566330150068,0.9978566330150068,0.0,0.994641582537517,0.994641582537517,0.0
scidocs,hybrid_rrf_copeland_a03,1.0,0.003142176,1.0,0.0,0.9978566330150068,0.9978566330150068,0.0,0.994641582537517,0.994641582537517,0.0
scidocs,hybrid_rrf_priority_topo_a03,1.0,0.003142176,1.0,0.0,0.9978566330150068,0.9978566330150068,0.0,0.994641582537517,0.994641582537517,0.0
scidocs,cross_encoder,0.89768,0.003142176,1.0,0.10231999999999997,0.9978566330150068,0.8955366330150069,0.10231999999999997,0.994641582537517,0.892321582537517,0.10231999999999997
scidocs,llm_pairwise_copeland_openai_pilot,0.9566,0.1466,1.0,0.043399999999999994,0.9,0.8566,0.043399999999999994,0.75,0.7066,0.043399999999999994
scidocs,bt_from_llm_openai_pilot,0.9566,0.1466,1.0,0.043399999999999994,0.9,0.8566,0.043399999999999994,0.75,0.7066,0.043399999999999994
scidocs,win_rate_from_llm_openai_pilot,0.9566,0.1466,1.0,0.043399999999999994,0.9,0.8566,0.043399999999999994,0.75,0.7066,0.043399999999999994
scidocs,markov_from_llm_openai_pilot,0.9574,0.1466,1.0,0.04259999999999997,0.9,0.8574,0.04259999999999997,0.75,0.7074,0.04259999999999997
scidocs,tournament_sort_from_llm_openai_pilot,0.9533,0.1466,1.0,0.046699999999999964,0.9,0.8533000000000001,0.046699999999999964,0.75,0.7033,0.046699999999999964
scidocs,greedy_fas_topological_openai_pilot,0.9474,0.1466,1.0,0.05259999999999998,0.9,0.8474,0.05259999999999998,0.75,0.6974,0.05259999999999998
scidocs,greedy_fas_weighted_balance_openai_pilot,0.9464,0.1466,1.0,0.05359999999999998,0.9,0.8464,0.05359999999999998,0.75,0.6964,0.05359999999999998
scidocs,greedy_fas_copeland_openai_pilot,0.9464,0.1466,1.0,0.05359999999999998,0.9,0.8464,0.05359999999999998,0.75,0.6964,0.05359999999999998
scidocs,hybrid_rrf_repaired_copeland_a03_openai_pilot,0.9563,0.1466,1.0,0.04369999999999996,0.9,0.8563000000000001,0.04369999999999996,0.75,0.7063,0.04369999999999996
scidocs,hybrid_rrf_unrepaired_copeland_a03_openai_pilot,0.9566,0.1466,1.0,0.043399999999999994,0.9,0.8566,0.043399999999999994,0.75,0.7066,0.043399999999999994
scidocs,hybrid_rrf_repaired_balance_a03_openai_pilot,0.9563,0.1466,1.0,0.04369999999999996,0.9,0.8563000000000001,0.04369999999999996,0.75,0.7063,0.04369999999999996
scidocs,hybrid_rrf_unrepaired_balance_a03_openai_pilot,0.9566,0.1466,1.0,0.043399999999999994,0.9,0.8566,0.043399999999999994,0.75,0.7066,0.043399999999999994
