dataset,variant,pair,n_queries,mean_delta_ndcg,ci95_low,ci95_high,bootstrap_reps
scidocs,ms2,copeland,119,0.0,0.0,0.0,2000
scidocs,ms2,copeland_scc_high,119,0.0,0.0,0.0,2000
scidocs,ms2,copeland_scc_low,0,,,,2000
scidocs,ms2,balance,119,0.0,0.0,0.0,2000
scidocs,ms1,copeland,120,-0.0001266000000000003,-0.0008435833333333341,0.0005953333333333319,2000
scidocs,ms1,copeland_scc_high,64,-0.00047909375000000035,-0.001571171875000001,0.0005737187500000004,2000
scidocs,ms1,copeland_scc_low,56,0.0002762499999999997,-0.00041980357142857146,0.0014126428571428543,2000
scidocs,ms1,balance,120,0.0,0.0,0.0,2000
scidocs,ms1_drop_mutual,copeland,120,0.0,0.0,0.0,2000
scidocs,ms1_drop_mutual,copeland_scc_high,120,0.0,0.0,0.0,2000
scidocs,ms1_drop_mutual,copeland_scc_low,0,,,,2000
scidocs,ms1_drop_mutual,balance,120,0.0,0.0,0.0,2000
fiqa,ms2,copeland,117,0.0,0.0,0.0,2000
fiqa,ms2,copeland_scc_high,117,0.0,0.0,0.0,2000
fiqa,ms2,copeland_scc_low,0,,,,2000
fiqa,ms2,balance,117,0.0,0.0,0.0,2000
fiqa,ms1,copeland,120,0.0014557083333333323,-0.0005147166666666684,0.004236249999999999,2000
fiqa,ms1,copeland_scc_high,67,0.002948641791044774,-0.0004186567164179124,0.007891671641791042,2000
fiqa,ms1,copeland_scc_low,53,-0.00043158490566037747,-0.0012947547169811324,0.0,2000
fiqa,ms1,balance,120,0.0,0.0,0.0,2000
fiqa,ms1_drop_mutual,copeland,120,0.0,0.0,0.0,2000
fiqa,ms1_drop_mutual,copeland_scc_high,120,0.0,0.0,0.0,2000
fiqa,ms1_drop_mutual,copeland_scc_low,0,,,,2000
fiqa,ms1_drop_mutual,balance,120,0.0,0.0,0.0,2000
hotpotqa,ms2,copeland,52,0.0,0.0,0.0,2000
hotpotqa,ms2,copeland_scc_high,52,0.0,0.0,0.0,2000
hotpotqa,ms2,copeland_scc_low,0,,,,2000
hotpotqa,ms2,balance,52,0.0,0.0,0.0,2000
hotpotqa,ms1,copeland,52,0.016712884615384616,0.0,0.04052326923076924,2000
hotpotqa,ms1,copeland_scc_high,27,0.03218777777777778,0.0,0.07319555555555556,2000
hotpotqa,ms1,copeland_scc_low,25,0.0,0.0,0.0,2000
hotpotqa,ms1,balance,52,0.0,0.0,0.0,2000
hotpotqa,ms1_drop_mutual,copeland,52,0.0,0.0,0.0,2000
hotpotqa,ms1_drop_mutual,copeland_scc_high,52,0.0,0.0,0.0,2000
hotpotqa,ms1_drop_mutual,copeland_scc_low,0,,,,2000
hotpotqa,ms1_drop_mutual,balance,52,0.0,0.0,0.0,2000
bright,ms2,copeland,34,0.0,0.0,0.0,2000
bright,ms2,copeland_scc_high,34,0.0,0.0,0.0,2000
bright,ms2,copeland_scc_low,0,,,,2000
bright,ms2,balance,34,0.0,0.0,0.0,2000
bright,ms1,copeland,50,2.1920000000001938e-05,-0.0018147599999999997,0.001646000000000003,2000
bright,ms1,copeland_scc_high,25,4.3840000000003876e-05,-0.0036677199999999967,0.003429680000000004,2000
bright,ms1,copeland_scc_low,25,0.0,0.0,0.0,2000
bright,ms1,balance,50,0.0,0.0,0.0,2000
bright,ms1_drop_mutual,copeland,50,0.0,0.0,0.0,2000
bright,ms1_drop_mutual,copeland_scc_high,50,0.0,0.0,0.0,2000
bright,ms1_drop_mutual,copeland_scc_low,0,,,,2000
bright,ms1_drop_mutual,balance,50,0.0,0.0,0.0,2000
