dataset,query_id,method,preference_source,n_candidates,ndcg_at_k,map_at_k,precision_at_k,recall_at_k,backward_edge_weight,pairwise_inconsistency
hotpotqa,5a88a42f554299206df2b317,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5ae663b05542992ae0d16316,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ab6993f554299110f219a2b,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ab7948b5542995dae37e969,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5ac560235542993e66e82396,cross_encoder,cross_encoder,10,0.63093,0.5,0.1,1.0,1.0,1
hotpotqa,5a72b8de5542994cef4bc3df,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ae18d615542997283cd2229,cross_encoder,cross_encoder,10,0.63093,0.5,0.1,1.0,1.0,1
hotpotqa,5a866b5b554299211dda2b23,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ae504a855429908b63264df,cross_encoder,cross_encoder,10,0.919721,0.833333,0.2,1.0,1.0,1
hotpotqa,5a7a1b845542990783324e5f,cross_encoder,cross_encoder,10,0.356207,0.166667,0.1,1.0,5.0,5
hotpotqa,5a7283355542991f9a20c4b1,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5a8f2ba155429918e830d1b9,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5ab925fd554299131ca42281,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5a8cec13554299441c6b9f7d,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5adbf43655429947ff173864,cross_encoder,cross_encoder,10,0.919721,0.833333,0.2,1.0,1.0,1
hotpotqa,5ab64285554299637185c67c,cross_encoder,cross_encoder,10,0.919721,0.833333,0.2,1.0,1.0,1
hotpotqa,5ae1dadf5542997f29b3c14f,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5a7cb9b95542990527d55515,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5a90c8165542995651fb51ee,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5adf8fe55542993344016d0f,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5adf95745542995534e8c7f8,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5abeb1925542994516f453f0,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5abb08c65542996cc5e49f61,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5adfb10855429942ec259af9,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ab92f1f554299753720f77b,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ab30d1155429976abd1bc3d,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5a88f7bf5542997e5c09a6dd,cross_encoder,cross_encoder,10,0.63093,0.5,0.1,1.0,1.0,1
hotpotqa,5a77d3f555429967ab1052c5,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5a77a3905542992a6e59df40,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ae4581e55429970de88d92f,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5a834cea5542990548d0b1c6,cross_encoder,cross_encoder,10,0.63093,0.5,0.1,1.0,1.0,1
hotpotqa,5a8511185542992a431d1aca,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5a8f7c9a55429918e830d239,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5a7184675542994082a3e864,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ac06e24554299294b218fd1,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5ab67c0055429954757d32f6,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5a78ce5d55429974737f78ac,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5adf67e95542993344016c72,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5ab2c418554299545a2cfa67,cross_encoder,cross_encoder,10,0.919721,0.833333,0.2,1.0,1.0,1
hotpotqa,5a89e85c5542992e4fca846f,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5adcc975554299473435379f,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ae5caff554299546bf82f69,cross_encoder,cross_encoder,10,0.850345,0.7,0.2,1.0,3.0,3
hotpotqa,5ac04a265542997d642959f1,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5ab67ce2554299710c8d1ead,cross_encoder,cross_encoder,2,1.0,1.0,1.0,1.0,,
hotpotqa,5ae3789b5542992e3233c412,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5a8a1b7a5542992d82986ec0,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5a72a9ac5542991f9a20c55f,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5a8c7232554299585d9e36a6,cross_encoder,cross_encoder,10,0.919721,0.833333,0.2,1.0,1.0,1
hotpotqa,5adff056554299603e4183cc,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5add6f975542992200553b18,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5abb4b4a5542993f40c73aea,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5a7f22005542993067513656,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ae3f4fe5542995ad6573ce8,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5a820897554299676cceb1f4,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ae763aa5542995703ce8c09,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5abbfbcf55429965836003cf,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ab6006a554299110f2199b5,cross_encoder,cross_encoder,8,1.0,1.0,0.125,1.0,0.0,0
hotpotqa,5a737d3c55429908901be2c8,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ab930c75542996be202043a,cross_encoder,cross_encoder,10,0.919721,0.833333,0.2,1.0,1.0,1
hotpotqa,5a7dacff5542991319bc93e0,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5a72224755429971e9dc92be,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5ae7eb43554299540e5a5695,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5adcd28c5542994d58a2f6ea,cross_encoder,cross_encoder,10,0.919721,0.833333,0.2,1.0,1.0,1
hotpotqa,5a74167455429929fddd83dc,cross_encoder,cross_encoder,10,0.919721,0.833333,0.2,1.0,1.0,1
hotpotqa,5ae4cf975542990ba0bbb151,cross_encoder,cross_encoder,10,0.356207,0.166667,0.1,1.0,5.0,5
hotpotqa,5a8704f8554299211dda2ba4,cross_encoder,cross_encoder,10,0.919721,0.833333,0.2,1.0,1.0,1
hotpotqa,5abb61735542993f40c73aef,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5ae60d36554299546bf8303e,cross_encoder,cross_encoder,10,0.797723,0.611111,0.2,1.0,7.0,7
hotpotqa,5abae3205542996cc5e49edc,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ae3ac665542994393b9e73f,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5a9070dd5542995b442420b5,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5ae0d3da5542990adbacf66d,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5a90b7f355429916514e752d,cross_encoder,cross_encoder,10,0.63093,0.5,0.1,1.0,1.0,1
hotpotqa,5ae0361155429925eb1afc2c,cross_encoder,cross_encoder,10,0.693426,0.583333,0.2,1.0,2.0,2
hotpotqa,5ab1d983554299340b52540a,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ab97cd0554299753720f81a,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
hotpotqa,5a8843cd5542994846c1ce75,cross_encoder,cross_encoder,10,0.877215,0.75,0.2,1.0,2.0,2
hotpotqa,5ae15ae25542990adbacf767,cross_encoder,cross_encoder,10,0.693426,0.583333,0.2,1.0,2.0,2
hotpotqa,5abb342055429966062416e8,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5abbd5a75542993f40c73bd3,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5abadc355542996606241644,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5a82930655429966c78a6a5e,cross_encoder,cross_encoder,10,0.315465,0.125,0.1,1.0,7.0,7
hotpotqa,5ab941c2554299743d22ea88,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ae7882b554299540e5a55dd,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5a722a6855429971e9dc9320,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ae5ffbb5542996de7b71ad4,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ac3f18d554299204fd21ed3,cross_encoder,cross_encoder,10,1.0,1.0,0.1,1.0,0.0,0
hotpotqa,5ab6aa4c55429953192ad359,cross_encoder,cross_encoder,10,0.919721,0.833333,0.2,1.0,1.0,1
hotpotqa,5ab61798554299488d4d9aaa,cross_encoder,cross_encoder,10,1.0,1.0,0.2,1.0,0.0,0
