dataset,query_id,method,preference_source,preference_source_note,n_nodes,n_edges,graph_density,n_sccs,largest_scc,is_cyclic,n_non_trivial_sccs,scc_cycle_burden,fas_weight_removed,fas_n_edges_removed,graph_ref_bew_pre,graph_ref_bew_post,graph_ref_pic_pre,graph_ref_pic_post,n_eval_candidates,primary_metric,backward_edge_weight,pairwise_inconsistency,kendall_tau,kendall_tau_legacy,ndcg_at_k,map_at_k,precision_at_k,recall_at_k,pairwise_accuracy,runtime_pref_gen_s,runtime_graph_build_s,runtime_cycle_detect_s,runtime_fas_solver_s,runtime_ranking_s,runtime_evaluation_s,runtime_total_s
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,score_sum,qrels,label-derived pairwise preferences from qrels,20,96,0.252632,20,1,False,0,0,0,0,0.0,0.0,0,0,20,ndcg_at_k,0.0,0,1.0,0.111111,1.0,1.0,0.4,1.0,1.0,0.00077,0.000383,2.7e-05,0.00103,3e-05,0.000984,0.12396
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,borda,qrels,label-derived pairwise preferences from qrels,20,96,0.252632,20,1,False,0,0,0,0,0.0,0.0,0,0,20,ndcg_at_k,0.0,0,1.0,0.111111,1.0,1.0,0.4,1.0,1.0,0.00077,0.000383,2.7e-05,0.00103,2.1e-05,0.000984,0.12396
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,pagerank,qrels,label-derived pairwise preferences from qrels,20,96,0.252632,20,1,False,0,0,0,0,0.0,0.0,0,0,20,ndcg_at_k,0.0,0,0.505263,0.166667,1.0,1.0,0.4,1.0,1.0,0.00077,0.000383,2.7e-05,0.00103,0.120318,0.000984,0.12396
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,greedy_fas_topological,qrels,label-derived pairwise preferences from qrels,20,96,0.252632,20,1,False,0,0,0,0,0.0,0.0,0,0,20,ndcg_at_k,0.0,0,0.505263,0.166667,1.0,1.0,0.4,1.0,1.0,0.00077,0.000383,2.7e-05,0.00103,5.5e-05,0.000984,0.12396
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,greedy_fas_weighted_balance,qrels,label-derived pairwise preferences from qrels,20,96,0.252632,20,1,False,0,0,0,0,0.0,0.0,0,0,20,ndcg_at_k,0.0,0,1.0,0.111111,1.0,1.0,0.4,1.0,1.0,0.00077,0.000383,2.7e-05,0.00103,3.7e-05,0.000984,0.12396
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,greedy_fas_copeland,qrels,label-derived pairwise preferences from qrels,20,96,0.252632,20,1,False,0,0,0,0,0.0,0.0,0,0,20,ndcg_at_k,0.0,0,1.0,0.111111,1.0,1.0,0.4,1.0,1.0,0.00077,0.000383,2.7e-05,0.00103,2.6e-05,0.000984,0.12396
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,greedy_fas_score_augmented_topological,qrels,label-derived pairwise preferences from qrels,20,96,0.252632,20,1,False,0,0,0,0,0.0,0.0,0,0,20,ndcg_at_k,0.0,0,0.010526,0.333333,1.0,1.0,0.4,1.0,1.0,0.00077,0.000383,2.7e-05,0.00103,4.9e-05,0.000984,0.12396
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,fas_balance_score_prior_alpha_beta,qrels,label-derived pairwise preferences from qrels,20,96,0.252632,20,1,False,0,0,0,0,0.0,0.0,0,0,20,ndcg_at_k,0.0,0,1.0,0.111111,1.0,1.0,0.4,1.0,1.0,0.00077,0.000383,2.7e-05,0.00103,6.6e-05,0.000984,0.12396
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,hybrid_rrf_fas_regularized,qrels,label-derived pairwise preferences from qrels,20,96,0.252632,20,1,False,0,0,0,0,0.0,0.0,0,0,20,ndcg_at_k,0.0,0,1.0,0.111111,1.0,1.0,0.4,1.0,1.0,0.00077,0.000383,2.7e-05,0.00103,4.3e-05,0.000984,0.12396
bright,aops:aops_2020_AMC_10B_Problems/Problem_25,hybrid_rrf_balance_a05,qrels,label-derived pairwise preferences from qrels,20,96,0.252632,20,1,False,0,0,0,0,0.0,0.0,0,0,20,ndcg_at_k,0.0,0,1.0,0.111111,1.0,1.0,0.4,1.0,1.0,0.00077,0.000383,2.7e-05,0.00103,3.4e-05,0.000984,0.12396
