stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,7.3e-05,7.3e-05,7.3e-05,7.3e-05
pairwise_preference_generation,1,0.00051,0.00051,0.00051,0.00051
graph_construction,1,0.002931,0.002931,0.002931,0.002931
cycle_detection,1,0.000174,0.000174,0.000174,0.000174
ranking_score_sum,1,9.5e-05,9.5e-05,9.5e-05,9.5e-05
ranking_borda,1,3.4e-05,3.4e-05,3.4e-05,3.4e-05
greedy_fas_solver,1,0.009336,0.009336,0.009336,0.009336
ranking_topological,1,0.000153,0.000153,0.000153,0.000153
evaluation,1,0.000307,0.000307,0.000307,0.000307
total_experiment,1,0.013763,0.013763,0.013763,0.013763
