stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,6.1e-05,6.1e-05,6.1e-05,6.1e-05
pairwise_preference_generation,1,0.000282,0.000282,0.000282,0.000282
graph_construction,1,0.002239,0.002239,0.002239,0.002239
cycle_detection,1,0.000198,0.000198,0.000198,0.000198
ranking_score_sum,1,9.7e-05,9.7e-05,9.7e-05,9.7e-05
ranking_borda,1,3.2e-05,3.2e-05,3.2e-05,3.2e-05
greedy_fas_solver,1,0.009377,0.009377,0.009377,0.009377
ranking_topological,1,0.000122,0.000122,0.000122,0.000122
evaluation,1,0.00034,0.00034,0.00034,0.00034
total_experiment,1,0.012874,0.012874,0.012874,0.012874
