method,n_queries,ndcg_mean,map_mean,precision_mean,recall_mean,bew_mean,pic_mean
llm_pairwise_copeland,10,0.8929,0.8444,0.13,1.0,3.1,3.1
bt_from_llm,10,0.8859,0.8361,0.13,1.0,3.0,3.0
win_rate_from_llm,10,0.8929,0.8444,0.13,1.0,3.1,3.1
markov_from_llm,10,0.8868,0.8375,0.13,1.0,3.7,3.7
tournament_sort_from_llm,10,0.9008,0.8583,0.13,1.0,2.5,2.5
greedy_fas_topological,10,0.8778,0.8267,0.13,1.0,3.8,3.8
greedy_fas_weighted_balance,10,0.8778,0.8267,0.13,1.0,4.3,4.3
greedy_fas_copeland,10,0.8778,0.8267,0.13,1.0,4.3,4.3
hybrid_rrf_repaired_copeland_a03,10,0.8859,0.8361,0.13,1.0,2.9,2.9
hybrid_rrf_unrepaired_copeland_a03,10,0.8929,0.8444,0.13,1.0,3.1,3.1
hybrid_rrf_repaired_balance_a03,10,0.8859,0.8361,0.13,1.0,2.9,2.9
hybrid_rrf_unrepaired_balance_a03,10,0.8929,0.8444,0.13,1.0,3.1,3.1
