method,n_queries,bew_mean,bew_median,bew_max,bew_min,pic_mean,pic_median,pic_max,tau_mean,tau_median,tau_max,tau_legacy_mean,ndcg_mean,map_mean,precision_at_k_mean,recall_at_k_mean,pairwise_accuracy_mean,runtime_mean_s,runtime_median_s,runtime_max_s,n_nodes_mean,n_edges_mean,cyclic_pct,fas_removed_weight_mean,graph_ref_bew_pre_mean,graph_ref_bew_post_mean,graph_ref_pic_pre_mean,graph_ref_pic_post_mean
score_sum,100,18.09,18.0,40.0,4.0,12.49,13.0,24,0.44663152000000006,0.4473685,0.736842,0.62628913,1.0,1.0,0.2825,1.0,1.0,0.00772797,0.005732,0.188315,20.0,85.31,100.0,20.21,18.09,10.89,12.49,6.77
borda,100,18.53,18.0,45.0,4.0,12.93,13.0,28,0.43326316,0.431579,0.726316,0.5771438,0.9621791199999999,1.0,0.2825,1.0,0.9848706,0.00772797,0.005732,0.188315,20.0,85.31,100.0,20.21,18.09,10.89,12.49,6.77
pagerank,100,21.56,20.5,47.0,4.0,15.72,15.0,31,0.36968423,0.373684,0.652632,0.53028517,0.91289421,0.8343421000000001,0.2825,1.0,0.9221881000000001,0.00772797,0.005732,0.188315,20.0,85.31,100.0,20.21,18.09,10.89,12.49,6.77
greedy_fas_topological,100,17.43,16.0,53.0,2.0,13.91,14.0,35,0.29126311,0.294737,0.526316,0.32258426999999995,0.7482426700000001,0.7416090900000001,0.2825,1.0,0.8236559699999999,0.00772797,0.005732,0.188315,20.0,85.31,100.0,20.21,18.09,10.89,12.49,6.77
greedy_fas_weighted_balance,100,18.66,19.0,40.0,4.0,13.07,13.5,25,0.5920000000000001,0.6,0.831579,0.59795259,0.9795086399999999,0.99542308,0.2825,1.0,0.98860286,0.00772797,0.005732,0.188315,20.0,85.31,100.0,20.21,18.09,10.89,12.49,6.77
greedy_fas_copeland,100,20.74,21.0,45.0,4.0,15.14,15.0,33,0.57000001,0.568421,0.842105,0.49829215,0.88177357,0.99511809,0.2825,1.0,0.9569561,0.00772797,0.005732,0.188315,20.0,85.31,100.0,20.21,18.09,10.89,12.49,6.77
greedy_fas_score_augmented_topological,100,17.03,15.0,48.0,2.0,13.62,12.5,32,0.03357893,0.052632,0.326316,0.33513906,0.75221728,0.7388105899999999,0.2825,1.0,0.82599312,0.00772797,0.005732,0.188315,20.0,85.31,100.0,20.21,18.09,10.89,12.49,6.77
hybrid_rrf_fas_regularized,100,18.66,19.0,40.0,4.0,13.07,13.5,25,0.5920000000000001,0.6,0.831579,0.59795259,0.9795086399999999,0.99542308,0.2825,1.0,0.98860286,0.00772797,0.005732,0.188315,20.0,85.31,100.0,20.21,18.09,10.89,12.49,6.77
hybrid_rrf_balance_a05,100,18.66,19.0,40.0,4.0,13.07,13.5,25,0.5920000000000001,0.6,0.831579,0.59795259,0.9795086399999999,0.99542308,0.2825,1.0,0.98860286,0.00772797,0.005732,0.188315,20.0,85.31,100.0,20.21,18.09,10.89,12.49,6.77
hybrid_rrf_copeland_a03,100,20.74,21.0,45.0,4.0,15.14,15.0,33,0.57000001,0.568421,0.842105,0.49829215,0.88177357,0.99511809,0.2825,1.0,0.9569561,0.00772797,0.005732,0.188315,20.0,85.31,100.0,20.21,18.09,10.89,12.49,6.77
hybrid_rrf_priority_topo_a03,100,16.22,14.5,40.0,2.0,12.98,12.5,32,0.15947367,0.178947,0.505263,0.35178857999999996,0.7672657100000001,0.75124169,0.2825,1.0,0.8361894200000001,0.00772797,0.005732,0.188315,20.0,85.31,100.0,20.21,18.09,10.89,12.49,6.77
