stage,n_calls,total_s,mean_s,median_s,max_s
preference_source_loading,1,2e-06,2e-06,2e-06,2e-06
dataset_loading,1,0.330883,0.330883,0.330883,0.330883
candidate_selection,1,0.006771,0.006771,0.006771,0.006771
pairwise_preference_generation,50,0.011508,0.00023,0.000218,0.001113
graph_construction,50,0.00888,0.000178,0.000175,0.000515
cycle_detection,50,0.000942,1.9e-05,1.7e-05,4.9e-05
greedy_fas_solver,50,0.131148,0.002623,0.002582,0.004114
ranking_score_sum,50,0.002002,4e-05,3.9e-05,5.4e-05
ranking_borda,50,0.00097,1.9e-05,1.9e-05,3.1e-05
ranking_pagerank,50,0.303993,0.00608,0.001558,0.186173
ranking_topological,50,0.003446,6.9e-05,6.7e-05,0.000102
ranking_fas_weighted_balance,50,0.002125,4.3e-05,4.1e-05,6.2e-05
ranking_fas_copeland,50,0.001391,2.8e-05,2.7e-05,5.4e-05
ranking_fas_balance_score_prior_alpha_beta,50,0.002945,5.9e-05,5.8e-05,7.9e-05
ranking_fas_score_augmented_topological,50,0.002295,4.6e-05,4.5e-05,6.4e-05
ranking_hybrid_rrf_fas_regularized,50,0.002462,4.9e-05,4.8e-05,6.8e-05
ranking_hybrid_rrf_balance_a05,50,0.002169,4.3e-05,4.3e-05,6.2e-05
ranking_hybrid_rrf_copeland_a03,50,0.001757,3.5e-05,3.4e-05,5.8e-05
ranking_hybrid_rrf_priority_topo_a03,50,0.00398,8e-05,7.9e-05,0.0001
evaluation,50,0.084286,0.001686,0.001688,0.001855
total_pipeline,1,0.604912,0.604912,0.604912,0.604912
