dataset,query_id,method,preference_source,preference_source_note,n_nodes,n_edges,graph_density,n_sccs,largest_scc,is_cyclic,n_non_trivial_sccs,scc_cycle_burden,fas_weight_removed,fas_n_edges_removed,graph_ref_bew_pre,graph_ref_bew_post,graph_ref_pic_pre,graph_ref_pic_post,n_eval_candidates,primary_metric,backward_edge_weight,pairwise_inconsistency,kendall_tau,kendall_tau_legacy,ndcg_at_k,map_at_k,precision_at_k,recall_at_k,pairwise_accuracy,runtime_pref_gen_s,runtime_graph_build_s,runtime_cycle_detect_s,runtime_fas_solver_s,runtime_ranking_s,runtime_evaluation_s,runtime_total_s
hotpotqa,q_hop_000164,score_sum,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,10,21,0.233333,4,7,True,1,7,4.0,4,5.0,3.0,5,3,10,ndcg_at_k,5.0,5,0.377778,0.377778,1.0,1.0,0.3,1.0,1.0,8.8e-05,0.000274,3.6e-05,0.000947,1.7e-05,0.000731,0.191658
hotpotqa,q_hop_000164,borda,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,10,21,0.233333,4,7,True,1,7,4.0,4,5.0,3.0,5,3,10,ndcg_at_k,5.0,5,0.377778,0.377778,1.0,1.0,0.3,1.0,1.0,8.8e-05,0.000274,3.6e-05,0.000947,1.5e-05,0.000731,0.191658
hotpotqa,q_hop_000164,pagerank,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,10,21,0.233333,4,7,True,1,7,4.0,4,5.0,3.0,5,3,10,ndcg_at_k,7.0,7,0.288889,0.288889,0.906025,0.805556,0.3,1.0,0.904762,8.8e-05,0.000274,3.6e-05,0.000947,0.189289,0.000731,0.191658
hotpotqa,q_hop_000164,greedy_fas_topological,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,10,21,0.233333,4,7,True,1,7,4.0,4,5.0,3.0,5,3,10,ndcg_at_k,3.0,3,0.155556,0.155556,0.827812,0.642857,0.3,1.0,0.714286,8.8e-05,0.000274,3.6e-05,0.000947,6e-05,0.000731,0.191658
hotpotqa,q_hop_000164,greedy_fas_weighted_balance,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,10,21,0.233333,4,7,True,1,7,4.0,4,5.0,3.0,5,3,10,ndcg_at_k,5.0,5,0.644444,0.644444,1.0,1.0,0.3,1.0,1.0,8.8e-05,0.000274,3.6e-05,0.000947,2.8e-05,0.000731,0.191658
hotpotqa,q_hop_000164,greedy_fas_copeland,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,10,21,0.233333,4,7,True,1,7,4.0,4,5.0,3.0,5,3,10,ndcg_at_k,5.0,5,0.644444,0.644444,1.0,1.0,0.3,1.0,1.0,8.8e-05,0.000274,3.6e-05,0.000947,2.3e-05,0.000731,0.191658
hotpotqa,q_hop_000164,greedy_fas_score_augmented_topological,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,10,21,0.233333,4,7,True,1,7,4.0,4,5.0,3.0,5,3,10,ndcg_at_k,3.0,3,0.155556,0.155556,0.827812,0.642857,0.3,1.0,0.714286,8.8e-05,0.000274,3.6e-05,0.000947,2.5e-05,0.000731,0.191658
hotpotqa,q_hop_000164,hybrid_rrf_fas_regularized,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,10,21,0.233333,4,7,True,1,7,4.0,4,5.0,3.0,5,3,10,ndcg_at_k,5.0,5,0.644444,0.644444,1.0,1.0,0.3,1.0,1.0,8.8e-05,0.000274,3.6e-05,0.000947,3.9e-05,0.000731,0.191658
hotpotqa,q_hop_000164,hybrid_rrf_balance_a05,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,10,21,0.233333,4,7,True,1,7,4.0,4,5.0,3.0,5,3,10,ndcg_at_k,5.0,5,0.644444,0.644444,1.0,1.0,0.3,1.0,1.0,8.8e-05,0.000274,3.6e-05,0.000947,2.4e-05,0.000731,0.191658
hotpotqa,q_hop_000164,hybrid_rrf_copeland_a03,qrels_flip,synthetic corruption: qrels-derived edges with flip_prob=0.15,10,21,0.233333,4,7,True,1,7,4.0,4,5.0,3.0,5,3,10,ndcg_at_k,5.0,5,0.644444,0.644444,1.0,1.0,0.3,1.0,1.0,8.8e-05,0.000274,3.6e-05,0.000947,2.2e-05,0.000731,0.191658
