stage,n_calls,total_s,mean_s,median_s,max_s
preference_source_loading,1,2e-06,2e-06,2e-06,2e-06
dataset_loading,1,0.171305,0.171305,0.171305,0.171305
candidate_selection,1,0.005215,0.005215,0.005215,0.005215
pairwise_preference_generation,50,0.007645,0.000153,0.000149,0.000225
graph_construction,50,0.007283,0.000146,0.00011,0.000984
cycle_detection,50,0.000924,1.8e-05,1.7e-05,3.6e-05
greedy_fas_solver,50,0.08177,0.001635,0.001669,0.00306
ranking_score_sum,50,0.001501,3e-05,3e-05,4.3e-05
ranking_borda,50,0.000955,1.9e-05,1.9e-05,3e-05
ranking_pagerank,50,0.378435,0.007569,0.003208,0.201959
ranking_topological,50,0.003214,6.4e-05,6.1e-05,9.7e-05
ranking_fas_weighted_balance,50,0.001673,3.3e-05,3.4e-05,4.8e-05
ranking_fas_copeland,50,0.001378,2.8e-05,2.7e-05,4.4e-05
ranking_fas_balance_score_prior_alpha_beta,50,0.002521,5e-05,4.9e-05,6.9e-05
ranking_fas_score_augmented_topological,50,0.002424,4.8e-05,4.8e-05,6.5e-05
ranking_hybrid_rrf_fas_regularized,50,0.002089,4.2e-05,4.1e-05,5.8e-05
ranking_hybrid_rrf_balance_a05,50,0.001832,3.7e-05,3.6e-05,5.3e-05
ranking_hybrid_rrf_copeland_a03,50,0.001734,3.5e-05,3.3e-05,5.5e-05
ranking_hybrid_rrf_priority_topo_a03,50,0.003867,7.7e-05,7.5e-05,0.000107
evaluation,50,0.07142,0.001428,0.001422,0.001588
total_pipeline,1,0.605682,0.605682,0.605682,0.605682
