stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,6.4e-05,6.4e-05,6.4e-05,6.4e-05
pairwise_preference_generation,1,0.000281,0.000281,0.000281,0.000281
graph_construction,1,0.002324,0.002324,0.002324,0.002324
cycle_detection,1,0.000194,0.000194,0.000194,0.000194
ranking_score_sum,1,9.4e-05,9.4e-05,9.4e-05,9.4e-05
ranking_borda,1,3e-05,3e-05,3e-05,3e-05
greedy_fas_solver,1,0.010689,0.010689,0.010689,0.010689
ranking_topological,1,0.000148,0.000148,0.000148,0.000148
evaluation,1,0.000327,0.000327,0.000327,0.000327
total_experiment,1,0.014282,0.014282,0.014282,0.014282
