stage,n_calls,total_s,mean_s,median_s,max_s
data_generation,1,9.3e-05,9.3e-05,9.3e-05,9.3e-05
pairwise_preference_generation,1,0.000395,0.000395,0.000395,0.000395
graph_construction,1,0.003881,0.003881,0.003881,0.003881
cycle_detection,1,0.000189,0.000189,0.000189,0.000189
ranking_score_sum,1,0.000133,0.000133,0.000133,0.000133
ranking_borda,1,3.5e-05,3.5e-05,3.5e-05,3.5e-05
greedy_fas_solver,1,0.013693,0.013693,0.013693,0.013693
ranking_topological,1,0.000171,0.000171,0.000171,0.000171
ranking_priority_topological_score_sum,1,0.000152,0.000152,0.000152,0.000152
ranking_fas_weighted_balance,1,6.9e-05,6.9e-05,6.9e-05,6.9e-05
ranking_fas_copeland,1,4.8e-05,4.8e-05,4.8e-05,4.8e-05
ranking_hybrid_rrf_fas_regularized,1,9.5e-05,9.5e-05,9.5e-05,9.5e-05
evaluation,1,0.000716,0.000716,0.000716,0.000716
total_experiment,1,0.019838,0.019838,0.019838,0.019838
