extractor,dimension,group_value,n,mean_delta,headroom_ci_lower,headroom_ci_upper,n_win,n_tie,n_loss
incumbent,by_dataset,scidocs,60,0.0,0.0,0.0,0,60,0
incumbent,by_dataset,fiqa,60,0.0,0.0,0.0,0,60,0
incumbent,by_provider,azure,24,0.0,0.0,0.0,0,24,0
incumbent,by_provider,gemini,24,0.0,0.0,0.0,0,24,0
incumbent,by_provider,cohere,24,0.0,0.0,0.0,0,24,0
incumbent,by_provider,fireworks,24,0.0,0.0,0.0,0,24,0
incumbent,by_provider,aggregate,24,0.0,0.0,0.0,0,24,0
incumbent,by_pool_size,6,30,0.0,0.0,0.0,0,30,0
incumbent,by_pool_size,8,60,0.0,0.0,0.0,0,60,0
incumbent,by_pool_size,10,30,0.0,0.0,0.0,0,30,0
incumbent,by_cyclicity,acyclic,76,0.0,0.0,0.0,0,76,0
incumbent,by_cyclicity,cyclic,44,0.0,0.0,0.0,0,44,0
copeland,by_dataset,scidocs,60,0.0,0.0,0.0,0,60,0
copeland,by_dataset,fiqa,60,0.0,0.0,0.0,0,60,0
copeland,by_provider,azure,24,0.0,0.0,0.0,0,24,0
copeland,by_provider,gemini,24,0.0,0.0,0.0,0,24,0
copeland,by_provider,cohere,24,0.0,0.0,0.0,0,24,0
copeland,by_provider,fireworks,24,0.0,0.0,0.0,0,24,0
copeland,by_provider,aggregate,24,0.0,0.0,0.0,0,24,0
copeland,by_pool_size,6,30,0.0,0.0,0.0,0,30,0
copeland,by_pool_size,8,60,0.0,0.0,0.0,0,60,0
copeland,by_pool_size,10,30,0.0,0.0,0.0,0,30,0
copeland,by_cyclicity,acyclic,76,0.0,0.0,0.0,0,76,0
copeland,by_cyclicity,cyclic,44,0.0,0.0,0.0,0,44,0
borda,by_dataset,scidocs,60,-0.01612757300398879,-0.027224487979522413,-0.006917277296052644,7,32,21
borda,by_dataset,fiqa,60,0.00023652592326350863,-0.0009022927885719966,0.0012971331613957687,12,42,6
borda,by_provider,azure,24,-0.006187904862232428,-0.01497466217733083,0.0006653337106396405,3,15,6
borda,by_provider,gemini,24,-0.011519059211787266,-0.030001879379045176,0.0009154334155702935,5,14,5
borda,by_provider,cohere,24,-0.004463306704565083,-0.01141158433377457,0.0009335345741536,4,16,4
borda,by_provider,fireworks,24,-0.006345102123724605,-0.01955766594398907,0.001735630312750453,5,13,6
