dataset,protocol,regime,pair_name,pair_family,common_query_count,mean_delta_ndcg,median_delta_ndcg,q05_delta_ndcg,q25_delta_ndcg,q75_delta_ndcg,q95_delta_ndcg,paired_permutation_pvalue,bootstrap_ci_low,bootstrap_ci_high,bootstrap_fraction_means_gt_zero
scidocs,primary_minmax_retention_matched,ms2,copeland_graph,graph,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scidocs,primary_minmax_retention_matched,ms2,balance_graph,graph,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scidocs,primary_minmax_retention_matched,ms2,markov_graph,graph,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scidocs,primary_minmax_retention_matched,ms2,copeland_hybrid,hybrid,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scidocs,primary_minmax_retention_matched,ms2,balance_hybrid,hybrid,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scidocs,primary_minmax_retention_matched,ms1,copeland_graph,graph,120,0.011042968687951583,0.0,-0.04387703313094845,0.0,0.011041952055485985,0.08053624936086762,0.0201979802019798,0.001938604806440187,0.022288801991384118,0.992
scidocs,primary_minmax_retention_matched,ms1,balance_graph,graph,120,-0.0017696622402660644,0.0,-0.013637609043977131,0.0,0.0,0.008643152834012662,0.31916808319168083,-0.005391005208895687,0.0013095295533694865,0.1431
scidocs,primary_minmax_retention_matched,ms1,markov_graph,graph,120,0.005928517858260695,0.0,-0.013604550916116587,0.0,0.0,0.02409838465321374,0.09449055094490551,0.00010750312542651138,0.014231080196290284,0.9793
scidocs,primary_minmax_retention_matched,ms1,copeland_hybrid,hybrid,120,0.008526038099271938,0.0,-0.008907684444742983,0.0,0.0005166234590925634,0.04089638234812131,0.011998800119988001,0.0018086563430457683,0.017274600486808924,0.9953
scidocs,primary_minmax_retention_matched,ms1,balance_hybrid,hybrid,120,-0.0002645158212515708,0.0,0.0,0.0,0.0,0.0,0.4864513548645136,-0.0009636399735797987,0.0003347085220359808,0.2113
scidocs,primary_minmax_retention_matched,ms1_drop_mutual,copeland_graph,graph,120,0.0005776953493883912,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0017330860481651737,0.6287
scidocs,primary_minmax_retention_matched,ms1_drop_mutual,balance_graph,graph,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scidocs,primary_minmax_retention_matched,ms1_drop_mutual,markov_graph,graph,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scidocs,primary_minmax_retention_matched,ms1_drop_mutual,copeland_hybrid,hybrid,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scidocs,primary_minmax_retention_matched,ms1_drop_mutual,balance_hybrid,hybrid,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fiqa,primary_minmax_retention_matched,ms2,copeland_graph,graph,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fiqa,primary_minmax_retention_matched,ms2,balance_graph,graph,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fiqa,primary_minmax_retention_matched,ms2,markov_graph,graph,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fiqa,primary_minmax_retention_matched,ms2,copeland_hybrid,hybrid,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fiqa,primary_minmax_retention_matched,ms2,balance_hybrid,hybrid,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fiqa,primary_minmax_retention_matched,ms1,copeland_graph,graph,120,0.003634275353696659,0.0,-0.027246031215337734,0.0,0.0,0.07953176504596222,0.44145585441455854,-0.005367346805124414,0.011278381663289217,0.813
fiqa,primary_minmax_retention_matched,ms1,balance_graph,graph,120,0.0035159966086473946,0.0,0.0,0.0,0.0,0.014817489566302734,0.27577242275772423,-0.0013419574922689406,0.009926860348391362,0.9064
fiqa,primary_minmax_retention_matched,ms1,markov_graph,graph,120,0.003568757606997486,0.0,-0.00767693723940121,0.0,0.0,0.023487078922847383,0.2502749725027497,-0.0019421517960850842,0.009913035830864895,0.8865
fiqa,primary_minmax_retention_matched,ms1,copeland_hybrid,hybrid,120,-0.004569149185585735,0.0,-0.012510603567523093,0.0,0.0,0.018955114654218036,0.30086991300869914,-0.013271197026379595,0.0017783080447936904,0.107
fiqa,primary_minmax_retention_matched,ms1,balance_hybrid,hybrid,120,-0.0016912410670576554,0.0,0.0,0.0,0.0,0.0,0.8718128187181282,-0.0057342702774028234,0.0005258041683676689,0.3244
fiqa,primary_minmax_retention_matched,ms1_drop_mutual,copeland_graph,graph,120,-0.00017263791214213408,0.0,0.0,0.0,0.0,0.0,0.5046495350464953,-0.00046750130765593387,0.0,0.0
fiqa,primary_minmax_retention_matched,ms1_drop_mutual,balance_graph,graph,120,-5.57625852281506e-05,0.0,0.0,0.0,0.0,0.0,1.0,-0.00016728775568445182,0.0,0.0
fiqa,primary_minmax_retention_matched,ms1_drop_mutual,markov_graph,graph,120,-5.57625852281506e-05,0.0,0.0,0.0,0.0,0.0,1.0,-0.00016728775568445182,0.0,0.0
fiqa,primary_minmax_retention_matched,ms1_drop_mutual,copeland_hybrid,hybrid,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fiqa,primary_minmax_retention_matched,ms1_drop_mutual,balance_hybrid,hybrid,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hotpotqa,primary_minmax_retention_matched,ms2,copeland_graph,graph,52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hotpotqa,primary_minmax_retention_matched,ms2,balance_graph,graph,52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hotpotqa,primary_minmax_retention_matched,ms2,markov_graph,graph,52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hotpotqa,primary_minmax_retention_matched,ms2,copeland_hybrid,hybrid,52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hotpotqa,primary_minmax_retention_matched,ms2,balance_hybrid,hybrid,52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
