dataset,protocol,regime,compared_against,n_common_queries,mean_removed_edge_jaccard,median_removed_edge_jaccard
scidocs,ablation_raw_fixed,ms2,ablation_raw_fixed,120,1.0,1.0
scidocs,ablation_raw_fixed,ms2,primary_minmax_retention_matched,120,1.0,1.0
scidocs,ablation_raw_fixed,ms1,ablation_raw_fixed,120,1.0,1.0
scidocs,ablation_raw_fixed,ms1,primary_minmax_retention_matched,120,0.09024260986997674,0.06507936507936507
scidocs,ablation_raw_fixed,ms1_drop_mutual,ablation_raw_fixed,120,1.0,1.0
scidocs,ablation_raw_fixed,ms1_drop_mutual,primary_minmax_retention_matched,120,0.8502032520325203,1.0
scidocs,primary_minmax_retention_matched,ms2,ablation_raw_fixed,120,1.0,1.0
scidocs,primary_minmax_retention_matched,ms2,primary_minmax_retention_matched,120,1.0,1.0
scidocs,primary_minmax_retention_matched,ms1,ablation_raw_fixed,120,0.09024260986997674,0.06507936507936507
scidocs,primary_minmax_retention_matched,ms1,primary_minmax_retention_matched,120,1.0,1.0
scidocs,primary_minmax_retention_matched,ms1_drop_mutual,ablation_raw_fixed,120,0.8502032520325203,1.0
scidocs,primary_minmax_retention_matched,ms1_drop_mutual,primary_minmax_retention_matched,120,1.0,1.0
scidocs,ablation_minmax_fixed,ms2,ablation_raw_fixed,120,0.625,1.0
scidocs,ablation_minmax_fixed,ms2,primary_minmax_retention_matched,120,0.625,1.0
scidocs,ablation_minmax_fixed,ms1,ablation_raw_fixed,120,0.0833619030026586,0.06977687626774848
scidocs,ablation_minmax_fixed,ms1,primary_minmax_retention_matched,120,0.3611252874252235,0.36832691249312055
scidocs,ablation_minmax_fixed,ms1_drop_mutual,ablation_raw_fixed,120,0.8166666666666667,1.0
scidocs,ablation_minmax_fixed,ms1_drop_mutual,primary_minmax_retention_matched,120,0.8201388888888889,1.0
scidocs,ablation_unit_vote_retention,ms2,ablation_raw_fixed,120,1.0,1.0
scidocs,ablation_unit_vote_retention,ms2,primary_minmax_retention_matched,120,1.0,1.0
scidocs,ablation_unit_vote_retention,ms1,ablation_raw_fixed,120,0.28568431966518126,0.24807692307692308
scidocs,ablation_unit_vote_retention,ms1,primary_minmax_retention_matched,120,0.3299185062038728,0.3246487119437939
scidocs,ablation_unit_vote_retention,ms1_drop_mutual,ablation_raw_fixed,120,0.9291781393408428,1.0
scidocs,ablation_unit_vote_retention,ms1_drop_mutual,primary_minmax_retention_matched,120,0.8543965777174732,1.0
scidocs,robustness_zscore_retention,ms2,ablation_raw_fixed,120,1.0,1.0
scidocs,robustness_zscore_retention,ms2,primary_minmax_retention_matched,120,1.0,1.0
scidocs,robustness_zscore_retention,ms1,ablation_raw_fixed,120,0.09506613970487174,0.07692307692307693
scidocs,robustness_zscore_retention,ms1,primary_minmax_retention_matched,120,0.7845709590445012,0.8027777777777778
scidocs,robustness_zscore_retention,ms1_drop_mutual,ablation_raw_fixed,120,0.8595833333333334,1.0
scidocs,robustness_zscore_retention,ms1_drop_mutual,primary_minmax_retention_matched,120,0.9495989789196311,1.0
scidocs,robustness_rank_percentile_retention,ms2,ablation_raw_fixed,120,1.0,1.0
scidocs,robustness_rank_percentile_retention,ms2,primary_minmax_retention_matched,120,1.0,1.0
scidocs,robustness_rank_percentile_retention,ms1,ablation_raw_fixed,120,0.08081092908284823,0.06856639247943597
scidocs,robustness_rank_percentile_retention,ms1,primary_minmax_retention_matched,120,0.4320944837748189,0.4380482456140351
scidocs,robustness_rank_percentile_retention,ms1_drop_mutual,ablation_raw_fixed,120,0.8093531468531469,1.0
scidocs,robustness_rank_percentile_retention,ms1_drop_mutual,primary_minmax_retention_matched,120,0.8418544921752769,1.0
scidocs,independent_minmax_quantile_q0p5,ms2,ablation_raw_fixed,120,0.9916666666666667,1.0
scidocs,independent_minmax_quantile_q0p5,ms2,primary_minmax_retention_matched,120,0.9916666666666667,1.0
scidocs,independent_minmax_quantile_q0p5,ms1,ablation_raw_fixed,120,0.12886912030531866,0.10300618921308577
scidocs,independent_minmax_quantile_q0p5,ms1,primary_minmax_retention_matched,120,0.2920283794452786,0.30195644149132517
scidocs,independent_minmax_quantile_q0p5,ms1_drop_mutual,ablation_raw_fixed,120,0.775,1.0
scidocs,independent_minmax_quantile_q0p5,ms1_drop_mutual,primary_minmax_retention_matched,120,0.7603103913630229,1.0
scidocs,independent_minmax_quantile_q0p3,ms2,ablation_raw_fixed,120,0.9416666666666667,1.0
scidocs,independent_minmax_quantile_q0p3,ms2,primary_minmax_retention_matched,120,0.9416666666666667,1.0
scidocs,independent_minmax_quantile_q0p3,ms1,ablation_raw_fixed,120,0.1166162722277773,0.10221835580687255
scidocs,independent_minmax_quantile_q0p3,ms1,primary_minmax_retention_matched,120,0.3397030909772995,0.3496031746031746
scidocs,independent_minmax_quantile_q0p3,ms1_drop_mutual,ablation_raw_fixed,120,0.8166666666666667,1.0
scidocs,independent_minmax_quantile_q0p3,ms1_drop_mutual,primary_minmax_retention_matched,120,0.8202576754385965,1.0
scidocs,independent_minmax_quantile_q0p7,ms2,ablation_raw_fixed,120,1.0,1.0
scidocs,independent_minmax_quantile_q0p7,ms2,primary_minmax_retention_matched,120,1.0,1.0
scidocs,independent_minmax_quantile_q0p7,ms1,ablation_raw_fixed,120,0.08646495840900743,0.047619047619047616
scidocs,independent_minmax_quantile_q0p7,ms1,primary_minmax_retention_matched,120,0.11818867085597413,0.075
scidocs,independent_minmax_quantile_q0p7,ms1_drop_mutual,ablation_raw_fixed,120,0.8583333333333333,1.0
scidocs,independent_minmax_quantile_q0p7,ms1_drop_mutual,primary_minmax_retention_matched,120,0.8445175438596491,1.0
scidocs,independent_rank_percentile_q0p5,ms2,ablation_raw_fixed,120,1.0,1.0
scidocs,independent_rank_percentile_q0p5,ms2,primary_minmax_retention_matched,120,1.0,1.0
scidocs,independent_rank_percentile_q0p5,ms1,ablation_raw_fixed,120,0.12674758187996157,0.1225
scidocs,independent_rank_percentile_q0p5,ms1,primary_minmax_retention_matched,120,0.1611999461381076,0.15255332902391727
scidocs,independent_rank_percentile_q0p5,ms1_drop_mutual,ablation_raw_fixed,120,0.75,1.0
scidocs,independent_rank_percentile_q0p5,ms1_drop_mutual,primary_minmax_retention_matched,120,0.7514157014157015,1.0
scidocs,independent_rank_percentile_q0p3,ms2,ablation_raw_fixed,120,0.9666666666666667,1.0
scidocs,independent_rank_percentile_q0p3,ms2,primary_minmax_retention_matched,120,0.9666666666666667,1.0
scidocs,independent_rank_percentile_q0p3,ms1,ablation_raw_fixed,120,0.1279935122238449,0.11666666666666667
scidocs,independent_rank_percentile_q0p3,ms1,primary_minmax_retention_matched,120,0.24128824676416316,0.24133811230585422
scidocs,independent_rank_percentile_q0p3,ms1_drop_mutual,ablation_raw_fixed,120,0.7861111111111112,1.0
scidocs,independent_rank_percentile_q0p3,ms1_drop_mutual,primary_minmax_retention_matched,120,0.7699074074074074,1.0
scidocs,independent_rank_percentile_q0p7,ms2,ablation_raw_fixed,120,1.0,1.0
scidocs,independent_rank_percentile_q0p7,ms2,primary_minmax_retention_matched,120,1.0,1.0
scidocs,independent_rank_percentile_q0p7,ms1,ablation_raw_fixed,120,0.08085557927463058,0.07275132275132275
scidocs,independent_rank_percentile_q0p7,ms1,primary_minmax_retention_matched,120,0.07808435351452175,0.0743212149102623
scidocs,independent_rank_percentile_q0p7,ms1_drop_mutual,ablation_raw_fixed,120,0.7583333333333333,1.0
scidocs,independent_rank_percentile_q0p7,ms1_drop_mutual,primary_minmax_retention_matched,120,0.7512938596491228,1.0
fiqa,ablation_raw_fixed,ms2,ablation_raw_fixed,120,1.0,1.0
fiqa,ablation_raw_fixed,ms2,primary_minmax_retention_matched,120,1.0,1.0
fiqa,ablation_raw_fixed,ms1,ablation_raw_fixed,120,1.0,1.0
fiqa,ablation_raw_fixed,ms1,primary_minmax_retention_matched,120,0.05461699467996864,0.040547945205479455
fiqa,ablation_raw_fixed,ms1_drop_mutual,ablation_raw_fixed,120,1.0,1.0
