feature,family,n_clusters,pearson_r,pvalue,pvalue_holm,holm_significant_at_0.05,method
n_nodes,pre_repair,6,0.0,1.0,1.0,False,degenerate_zero_variance
n_edges,pre_repair,6,-0.2913702975958005,0.4777777777777778,1.0,False,exact_permutation_720
graph_density,pre_repair,6,-0.24219542461442792,0.5444444444444444,1.0,False,exact_permutation_720
pool_size,pre_repair,6,0.0,1.0,1.0,False,degenerate_zero_variance
n_sccs,pre_repair,6,0.4204176061093158,0.42083333333333334,1.0,False,exact_permutation_720
n_nontrivial_sccs,pre_repair,6,-0.113506509552684,0.8916666666666667,1.0,False,exact_permutation_720
largest_scc_size,pre_repair,6,-0.46928317268994635,0.36944444444444446,1.0,False,exact_permutation_720
largest_scc_frac,pre_repair,6,-0.3892728413853542,0.4444444444444444,1.0,False,exact_permutation_720
is_cyclic,pre_repair,6,-0.3419840045381793,0.55,1.0,False,exact_permutation_720
scc_cycle_weight,pre_repair,6,-0.43507520733901023,0.35694444444444445,1.0,False,exact_permutation_720
scc_cycle_weight_frac,pre_repair,6,-0.34361961363440574,0.45,1.0,False,exact_permutation_720
edge_weight_mean,pre_repair,6,0.3079373579541672,0.4638888888888889,1.0,False,exact_permutation_720
edge_weight_std,pre_repair,6,-0.4910747019963915,0.34444444444444444,1.0,False,exact_permutation_720
edge_weight_max,pre_repair,6,0.0,1.0,1.0,False,degenerate_zero_variance
mean_edge_reliability,pre_repair,6,0.27821317607276247,0.5083333333333333,1.0,False,exact_permutation_720
frac_edges_unanimous,pre_repair,6,0.27328898993225503,0.5069444444444444,1.0,False,exact_permutation_720
provider_disagreement,pre_repair,6,-0.2782131760727627,0.5083333333333333,1.0,False,exact_permutation_720
topk_involvement,pre_repair,6,-0.3419840045381793,0.55,1.0,False,exact_permutation_720
incumbent_topk_margin,pre_repair,6,0.0,1.0,1.0,False,degenerate_zero_variance
repair_objective,post_repair,6,-0.37412261183262985,0.425,1.0,False,exact_permutation_720
n_reversed_edges,post_repair,6,-0.3356960667787556,0.4236111111111111,1.0,False,exact_permutation_720
weight_reversed_edges,post_repair,6,-0.37412261183262985,0.425,1.0,False,exact_permutation_720
repair_objective_frac,post_repair,6,-0.3063865147956757,0.4986111111111111,1.0,False,exact_permutation_720
