n_items,budget,seed,top_k,prior_regime,judge_regime,reserved_safety_calls,plain_uht_calls,production_uht_calls,call_delta,plain_uht_topk_jaccard,production_uht_topk_jaccard,jaccard_delta,executed_policy,outsider_probe_executed,final_challenger_executed,cell_id
8,8,0,3,outsider_buried,clean,2,8,8,0,0.2,0.2,0.0,UHT,True,True,n8_b8_s0
8,8,1,3,outsider_buried,clean,2,8,8,0,0.5,0.2,-0.3,UHT,True,True,n8_b8_s1
8,8,2,3,outsider_buried,clean,2,8,8,0,0.2,0.2,0.0,UHT,True,True,n8_b8_s2
8,8,3,3,outsider_buried,clean,2,8,8,0,0.0,0.0,0.0,UHT,True,True,n8_b8_s3
8,16,0,3,outsider_buried,clean,3,16,16,0,0.2,0.2,0.0,UHT,True,True,n8_b16_s0
8,16,1,3,outsider_buried,clean,3,16,16,0,0.2,0.2,0.0,UHT,True,True,n8_b16_s1
8,16,2,3,outsider_buried,clean,3,16,16,0,0.2,0.2,0.0,UHT,True,True,n8_b16_s2
8,16,3,3,outsider_buried,clean,3,16,16,0,0.0,0.5,0.5,UHT,True,True,n8_b16_s3
8,24,0,3,outsider_buried,clean,4,24,24,0,0.2,0.0,-0.2,UHT,True,True,n8_b24_s0
8,24,1,3,outsider_buried,clean,4,24,22,-2,0.0,0.5,0.5,UHT,True,True,n8_b24_s1
8,24,2,3,outsider_buried,clean,4,24,24,0,0.2,0.0,-0.2,UHT,True,True,n8_b24_s2
8,24,3,3,outsider_buried,clean,4,24,24,0,0.0,0.5,0.5,UHT,True,True,n8_b24_s3
16,8,0,3,outsider_buried,clean,2,8,8,0,0.2,0.2,0.0,UHT,True,True,n16_b8_s0
16,8,1,3,outsider_buried,clean,2,8,8,0,0.5,0.2,-0.3,UHT,True,True,n16_b8_s1
16,8,2,3,outsider_buried,clean,2,8,8,0,0.2,0.2,0.0,UHT,True,True,n16_b8_s2
16,8,3,3,outsider_buried,clean,2,8,8,0,0.0,0.0,0.0,UHT,True,True,n16_b8_s3
16,16,0,3,outsider_buried,clean,3,16,16,0,0.2,0.2,0.0,UHT,True,True,n16_b16_s0
16,16,1,3,outsider_buried,clean,3,16,16,0,0.2,0.2,0.0,UHT,True,True,n16_b16_s1
16,16,2,3,outsider_buried,clean,3,16,16,0,0.2,0.2,0.0,UHT,True,True,n16_b16_s2
16,16,3,3,outsider_buried,clean,3,16,16,0,0.0,0.0,0.0,UHT,True,True,n16_b16_s3
16,24,0,3,outsider_buried,clean,4,24,24,0,0.2,0.0,-0.2,UHT,True,True,n16_b24_s0
16,24,1,3,outsider_buried,clean,4,24,22,-2,0.0,0.5,0.5,UHT,True,True,n16_b24_s1
16,24,2,3,outsider_buried,clean,4,24,24,0,0.2,0.0,-0.2,UHT,True,True,n16_b24_s2
16,24,3,3,outsider_buried,clean,4,24,24,0,0.0,0.0,0.0,UHT,True,True,n16_b24_s3
20,8,0,3,outsider_buried,clean,2,8,8,0,0.2,0.2,0.0,UHT,True,True,n20_b8_s0
20,8,1,3,outsider_buried,clean,2,8,8,0,0.5,0.2,-0.3,UHT,True,True,n20_b8_s1
20,8,2,3,outsider_buried,clean,2,8,8,0,0.2,0.2,0.0,UHT,True,True,n20_b8_s2
20,8,3,3,outsider_buried,clean,2,8,8,0,0.0,0.0,0.0,UHT,True,True,n20_b8_s3
20,16,0,3,outsider_buried,clean,3,16,16,0,0.2,0.2,0.0,UHT,True,True,n20_b16_s0
20,16,1,3,outsider_buried,clean,3,16,16,0,0.2,0.2,0.0,UHT,True,True,n20_b16_s1
20,16,2,3,outsider_buried,clean,3,16,16,0,0.2,0.2,0.0,UHT,True,True,n20_b16_s2
20,16,3,3,outsider_buried,clean,3,16,16,0,0.0,0.0,0.0,UHT,True,True,n20_b16_s3
20,24,0,3,outsider_buried,clean,4,24,24,0,0.2,0.0,-0.2,UHT,True,True,n20_b24_s0
20,24,1,3,outsider_buried,clean,4,24,22,-2,0.0,0.5,0.5,UHT,True,True,n20_b24_s1
20,24,2,3,outsider_buried,clean,4,24,24,0,0.2,0.0,-0.2,UHT,True,True,n20_b24_s2
20,24,3,3,outsider_buried,clean,4,24,24,0,0.0,0.0,0.0,UHT,True,True,n20_b24_s3
