dataset,vote_variant,method_pair,n_queries,mean_ndcg_unrepaired_copeland,mean_ndcg_repaired_copeland,mean_ndcg_unrepaired_balance,mean_ndcg_repaired_balance,mean_delta_ndcg_repaired_minus_unrepaired,ci95_low,ci95_high,bootstrap_reps,bootstrap_significance_label,pct_cyclic_graphs,avg_largest_scc,mean_bew_pre,mean_bew_post,mean_delta_bew_pre_minus_post,mean_pic_pre,mean_pic_post,mean_fas_weight_removed
scidocs,ms2,copeland,119,0.307987,0.307987,0.30227,0.30227,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,133.2651,133.2651,0.0,20.8992,20.8992,0.0
scidocs,ms2,copeland_scc_high,119,0.307987,0.307987,0.30227,0.30227,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,133.2651,133.2651,0.0,20.8992,20.8992,0.0
scidocs,ms2,copeland_scc_low,0,0.307987,0.307987,0.30227,0.30227,,,,2000,n/a,0.0,1.0,133.2651,133.2651,0.0,20.8992,20.8992,0.0
scidocs,ms2,balance,119,0.307987,0.307987,0.30227,0.30227,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,133.2651,133.2651,0.0,20.8992,20.8992,0.0
scidocs,ms1,copeland,120,0.302274,0.302148,0.301644,0.301644,-0.0001266000000000003,-0.0008435833333333341,0.0005953333333333319,2000,not significant (CI straddles 0),87.5,9.333,294.2158,293.8831,0.3327,94.1833,89.9333,0.68208
scidocs,ms1,copeland_scc_high,64,0.302274,0.302148,0.301644,0.301644,-0.00047909375000000035,-0.001571171875000001,0.0005737187500000004,2000,not significant (CI straddles 0),87.5,9.333,294.2158,293.8831,0.3327,94.1833,89.9333,0.68208
scidocs,ms1,copeland_scc_low,56,0.302274,0.302148,0.301644,0.301644,0.0002762499999999997,-0.00041980357142857146,0.0014126428571428543,2000,not significant (CI straddles 0),87.5,9.333,294.2158,293.8831,0.3327,94.1833,89.9333,0.68208
scidocs,ms1,balance,120,0.302274,0.302148,0.301644,0.301644,0.0,0.0,0.0,2000,inactive (delta=0),87.5,9.333,294.2158,293.8831,0.3327,94.1833,89.9333,0.68208
scidocs,ms1_drop_mutual,copeland,120,0.302274,0.302274,0.301659,0.301659,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,284.8144,284.8144,0.0,85.55,85.55,0.0
scidocs,ms1_drop_mutual,copeland_scc_high,120,0.302274,0.302274,0.301659,0.301659,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,284.8144,284.8144,0.0,85.55,85.55,0.0
scidocs,ms1_drop_mutual,copeland_scc_low,0,0.302274,0.302274,0.301659,0.301659,,,,2000,n/a,0.0,1.0,284.8144,284.8144,0.0,85.55,85.55,0.0
scidocs,ms1_drop_mutual,balance,120,0.302274,0.302274,0.301659,0.301659,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,284.8144,284.8144,0.0,85.55,85.55,0.0
fiqa,ms2,copeland,117,0.228736,0.228736,0.232366,0.232366,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,80.0452,80.0452,0.0,19.3333,19.3333,0.0
fiqa,ms2,copeland_scc_high,117,0.228736,0.228736,0.232366,0.232366,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,80.0452,80.0452,0.0,19.3333,19.3333,0.0
fiqa,ms2,copeland_scc_low,0,0.228736,0.228736,0.232366,0.232366,,,,2000,n/a,0.0,1.0,80.0452,80.0452,0.0,19.3333,19.3333,0.0
fiqa,ms2,balance,117,0.228736,0.228736,0.232366,0.232366,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,80.0452,80.0452,0.0,19.3333,19.3333,0.0
fiqa,ms1,copeland,120,0.241381,0.242837,0.241522,0.241522,0.0014557083333333323,-0.0005147166666666684,0.004236249999999999,2000,not significant (CI straddles 0),95.0,12.508,224.8073,224.3351,0.4722,99.3583,93.1417,1.099149
fiqa,ms1,copeland_scc_high,67,0.241381,0.242837,0.241522,0.241522,0.002948641791044774,-0.0004186567164179124,0.007891671641791042,2000,not significant (CI straddles 0),95.0,12.508,224.8073,224.3351,0.4722,99.3583,93.1417,1.099149
fiqa,ms1,copeland_scc_low,53,0.241381,0.242837,0.241522,0.241522,-0.00043158490566037747,-0.0012947547169811324,0.0,2000,not significant (CI straddles 0),95.0,12.508,224.8073,224.3351,0.4722,99.3583,93.1417,1.099149
fiqa,ms1,balance,120,0.241381,0.242837,0.241522,0.241522,0.0,0.0,0.0,2000,inactive (delta=0),95.0,12.508,224.8073,224.3351,0.4722,99.3583,93.1417,1.099149
fiqa,ms1_drop_mutual,copeland,120,0.241381,0.241381,0.241739,0.241739,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,209.4048,209.4048,0.0,85.575,85.575,0.0
fiqa,ms1_drop_mutual,copeland_scc_high,120,0.241381,0.241381,0.241739,0.241739,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,209.4048,209.4048,0.0,85.575,85.575,0.0
fiqa,ms1_drop_mutual,copeland_scc_low,0,0.241381,0.241381,0.241739,0.241739,,,,2000,n/a,0.0,1.0,209.4048,209.4048,0.0,85.575,85.575,0.0
fiqa,ms1_drop_mutual,balance,120,0.241381,0.241381,0.241739,0.241739,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,209.4048,209.4048,0.0,85.575,85.575,0.0
hotpotqa,ms2,copeland,52,0.854978,0.854978,0.89303,0.89303,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,52.7693,52.7693,0.0,5.9231,5.9231,0.0
hotpotqa,ms2,copeland_scc_high,52,0.854978,0.854978,0.89303,0.89303,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,52.7693,52.7693,0.0,5.9231,5.9231,0.0
hotpotqa,ms2,copeland_scc_low,0,0.854978,0.854978,0.89303,0.89303,,,,2000,n/a,0.0,1.0,52.7693,52.7693,0.0,5.9231,5.9231,0.0
hotpotqa,ms2,balance,52,0.854978,0.854978,0.89303,0.89303,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,52.7693,52.7693,0.0,5.9231,5.9231,0.0
hotpotqa,ms1,copeland,52,0.889175,0.905888,0.909397,0.909397,0.016712884615384616,0.0,0.04052326923076924,2000,not significant (CI straddles 0),51.92,2.519,91.8152,91.7806,0.0346,18.8462,18.3462,0.121092
hotpotqa,ms1,copeland_scc_high,27,0.889175,0.905888,0.909397,0.909397,0.03218777777777778,0.0,0.07319555555555556,2000,not significant (CI straddles 0),51.92,2.519,91.8152,91.7806,0.0346,18.8462,18.3462,0.121092
hotpotqa,ms1,copeland_scc_low,25,0.889175,0.905888,0.909397,0.909397,0.0,0.0,0.0,2000,inactive (delta=0),51.92,2.519,91.8152,91.7806,0.0346,18.8462,18.3462,0.121092
hotpotqa,ms1,balance,52,0.889175,0.905888,0.909397,0.909397,0.0,0.0,0.0,2000,inactive (delta=0),51.92,2.519,91.8152,91.7806,0.0346,18.8462,18.3462,0.121092
hotpotqa,ms1_drop_mutual,copeland,52,0.889175,0.889175,0.909397,0.909397,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,88.7036,88.7036,0.0,17.3462,17.3462,0.0
hotpotqa,ms1_drop_mutual,copeland_scc_high,52,0.889175,0.889175,0.909397,0.909397,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,88.7036,88.7036,0.0,17.3462,17.3462,0.0
hotpotqa,ms1_drop_mutual,copeland_scc_low,0,0.889175,0.889175,0.909397,0.909397,,,,2000,n/a,0.0,1.0,88.7036,88.7036,0.0,17.3462,17.3462,0.0
hotpotqa,ms1_drop_mutual,balance,52,0.889175,0.889175,0.909397,0.909397,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,88.7036,88.7036,0.0,17.3462,17.3462,0.0
bright,ms2,copeland,34,0.553861,0.553861,0.565091,0.565091,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,201.9684,201.9684,0.0,5.2353,5.2353,0.0
bright,ms2,copeland_scc_high,34,0.553861,0.553861,0.565091,0.565091,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,201.9684,201.9684,0.0,5.2353,5.2353,0.0
bright,ms2,copeland_scc_low,0,0.553861,0.553861,0.565091,0.565091,,,,2000,n/a,0.0,1.0,201.9684,201.9684,0.0,5.2353,5.2353,0.0
bright,ms2,balance,34,0.553861,0.553861,0.565091,0.565091,0.0,0.0,0.0,2000,inactive (delta=0),0.0,1.0,201.9684,201.9684,0.0,5.2353,5.2353,0.0
bright,ms1,copeland,50,0.520101,0.520122,0.532291,0.532291,2.1920000000001938e-05,-0.0018147599999999997,0.001646000000000003,2000,not significant (CI straddles 0),60.0,6.48,882.6879,882.4543,0.2336,55.56,52.8,0.387835
bright,ms1,copeland_scc_high,25,0.520101,0.520122,0.532291,0.532291,4.3840000000003876e-05,-0.0036677199999999967,0.003429680000000004,2000,not significant (CI straddles 0),60.0,6.48,882.6879,882.4543,0.2336,55.56,52.8,0.387835
bright,ms1,copeland_scc_low,25,0.520101,0.520122,0.532291,0.532291,0.0,0.0,0.0,2000,inactive (delta=0),60.0,6.48,882.6879,882.4543,0.2336,55.56,52.8,0.387835
bright,ms1,balance,50,0.520101,0.520122,0.532291,0.532291,0.0,0.0,0.0,2000,inactive (delta=0),60.0,6.48,882.6879,882.4543,0.2336,55.56,52.8,0.387835
bright,ms1_drop_mutual,copeland,50,0.520101,0.520101,0.530225,0.530225,0.0,0.0,0.0,2000,inactive (delta=0),6.0,1.4,863.0268,863.0212,0.0056,50.94,50.84,0.008793
bright,ms1_drop_mutual,copeland_scc_high,50,0.520101,0.520101,0.530225,0.530225,0.0,0.0,0.0,2000,inactive (delta=0),6.0,1.4,863.0268,863.0212,0.0056,50.94,50.84,0.008793
bright,ms1_drop_mutual,copeland_scc_low,0,0.520101,0.520101,0.530225,0.530225,,,,2000,n/a,6.0,1.4,863.0268,863.0212,0.0056,50.94,50.84,0.008793
bright,ms1_drop_mutual,balance,50,0.520101,0.520101,0.530225,0.530225,0.0,0.0,0.0,2000,inactive (delta=0),6.0,1.4,863.0268,863.0212,0.0056,50.94,50.84,0.008793
