method,order,query_id,split,stop_step,budget_frac,stopped,ndcg,ndcg_vs_bm25,ndcg_vs_exhaustive,topk_overlap_vs_exhaustive,exact_topk_match,severe_harm,premature_stop_qrel_label,premature_instability_qrelfree
counterfactual_primary,random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,32,0.3047619047619048,True,0.9747429528567879,0.20691002576314022,-0.014863272330364552,0.8181818181818182,False,False,False,True
counterfactual_conservative,random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,63,0.6,False,0.9896062251871525,0.22177329809350477,0.0,1.0,True,False,False,False
counterfactual_aggressive,random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,27,0.2571428571428571,True,0.9747429528567879,0.20691002576314022,-0.014863272330364552,0.8181818181818182,False,False,False,True
simple_recent_stability,random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,14,0.13333333333333333,True,0.9068250379649666,0.1389921108713189,-0.08278118722218586,0.5384615384615384,False,False,True,True
fixed_0.05,random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,5,0.047619047619047616,True,0.7816510974258781,0.013818170332230428,-0.20795512776127434,0.5384615384615384,False,False,True,True
fixed_0.10,random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,10,0.09523809523809523,True,0.7816510974258781,0.013818170332230428,-0.20795512776127434,0.6666666666666666,False,False,True,True
fixed_0.20,random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,21,0.2,True,0.9747429528567879,0.20691002576314022,-0.014863272330364552,0.8181818181818182,False,False,False,True
exhaustive,random,09109a5375d8e2ca752bedde17ba5acad1df61cb,dev,105,1.0,True,0.9896062251871525,0.22177329809350477,0.0,1.0,True,False,False,False
counterfactual_primary,random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,63,0.6,False,1.0,0.09317496203503339,0.0,0.6666666666666666,False,False,False,True
counterfactual_conservative,random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,63,0.6,False,1.0,0.09317496203503339,0.0,0.6666666666666666,False,False,False,True
counterfactual_aggressive,random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,21,0.2,True,1.0,0.09317496203503339,0.0,0.5384615384615384,False,False,False,True
